variant,phase,type,key,value
dem-sierra-S1-trace,moving,seconds,task_wall_sum_flip_recovery,0.0305114
dem-sierra-S1-trace,moving,seconds,task_wall_sum_pointwise_quality,25.544991
dem-sierra-S1-trace,moving,seconds,task_wall_sum_proposal,0.6187067
dem-sierra-S1-trace,moving,seconds,task_wall_sum_receiver_certification,0.46222949999999996
dem-sierra-S1-trace,moving,seconds,view_order,0.013001799999999999
dem-sierra-S1-trace,moving,seconds,view_projection,0.20918109999999995
dem-sierra-S1-trace,moving,seconds,view_refresh,0.2983668
dem-sierra-S1-trace,moving,seconds,view_scores,0.0732343
dem-sierra-S1-trace,moving,maxima,rationalBits,524.0
dem-sierra-S1-trace,return,counts,certified,497
dem-sierra-S1-trace,return,counts,flip_flip_nonconvex_or_existing_diagonal,486
dem-sierra-S1-trace,return,counts,flip_flip_not_interior,227
dem-sierra-S1-trace,return,counts,flip_shape_infeasible,7
dem-sierra-S1-trace,return,counts,pointwise_height_damage,13088
dem-sierra-S1-trace,return,counts,pointwise_progress_unknown,7
dem-sierra-S1-trace,return,counts,pointwise_receiver_certified,500
dem-sierra-S1-trace,return,counts,quality_clip_bounds_builds,1277131
dem-sierra-S1-trace,return,counts,quality_clip_exact_builds,199670
dem-sierra-S1-trace,return,counts,quality_contexts,1558966
dem-sierra-S1-trace,return,counts,quality_cover_exact_requests,1176231
dem-sierra-S1-trace,return,counts,quality_early_height_rejects,13088
dem-sierra-S1-trace,return,counts,quality_evidence_bytes,193826804
dem-sierra-S1-trace,return,counts,quality_exact_samples,205818
dem-sierra-S1-trace,return,counts,quality_face_bounds_builds,102282
dem-sierra-S1-trace,return,counts,quality_face_bounds_heights,2554262
dem-sierra-S1-trace,return,counts,quality_face_bounds_sides,21583233
dem-sierra-S1-trace,return,counts,quality_face_exact_builds,91189
dem-sierra-S1-trace,return,counts,quality_face_exact_heights,411636
dem-sierra-S1-trace,return,counts,quality_face_exact_sides,1176231
dem-sierra-S1-trace,return,counts,quality_face_records,116706
dem-sierra-S1-trace,return,counts,quality_filter_samples,1277131
dem-sierra-S1-trace,return,counts,quality_reference_bounds_builds,1558966
dem-sierra-S1-trace,return,counts,quality_reference_exact_builds,626839
dem-sierra-S1-trace,return,counts,quality_samples,1277131
dem-sierra-S1-trace,return,counts,quality_screen_evaluations,2821106
