variant,phase,type,key,value
dem-sierra-S2-trace,static,counts,quality_clip_bounds_builds,21552
dem-sierra-S2-trace,static,counts,quality_clip_exact_builds,607
dem-sierra-S2-trace,static,counts,quality_contexts,29248
dem-sierra-S2-trace,static,counts,quality_cover_exact_requests,13779
dem-sierra-S2-trace,static,counts,quality_early_height_rejects,22
dem-sierra-S2-trace,static,counts,quality_evidence_bytes,203600608
dem-sierra-S2-trace,static,counts,quality_exact_samples,613
dem-sierra-S2-trace,static,counts,quality_face_bounds_builds,60907
dem-sierra-S2-trace,static,counts,quality_face_bounds_heights,43104
dem-sierra-S2-trace,static,counts,quality_face_bounds_sides,320084
dem-sierra-S2-trace,static,counts,quality_face_exact_builds,5781
dem-sierra-S2-trace,static,counts,quality_face_exact_heights,1226
dem-sierra-S2-trace,static,counts,quality_face_exact_sides,13779
dem-sierra-S2-trace,static,counts,quality_face_records,125064
dem-sierra-S2-trace,static,counts,quality_filter_samples,6857
dem-sierra-S2-trace,static,counts,quality_full_domain_loops,75
dem-sierra-S2-trace,static,counts,quality_hint_checks,14695
dem-sierra-S2-trace,static,counts,quality_hint_outside,1
dem-sierra-S2-trace,static,counts,quality_hint_rejected,14695
dem-sierra-S2-trace,static,counts,quality_reference_bounds_builds,29248
dem-sierra-S2-trace,static,counts,quality_reference_exact_builds,8139
dem-sierra-S2-trace,static,counts,quality_samples,21552
dem-sierra-S2-trace,static,counts,quality_screen_evaluations,14680
dem-sierra-S2-trace,static,counts,quality_visibility_exact_requests,0
dem-sierra-S2-trace,static,counts,shape_infeasible,20328
dem-sierra-S2-trace,static,counts,source_height_prepared,14743
dem-sierra-S2-trace,static,counts,flip_certified,1
dem-sierra-S2-trace,static,seconds,derived_publish,0.00014989999999999998
dem-sierra-S2-trace,static,seconds,donor_order,0.0005936
dem-sierra-S2-trace,static,seconds,face_fill,0.0001309
dem-sierra-S2-trace,static,seconds,height_hint_merge,0.0037020000000000004
dem-sierra-S2-trace,static,seconds,mesh_fill,0.0001557
dem-sierra-S2-trace,static,seconds,mesh_prepare,0.0001842
dem-sierra-S2-trace,static,seconds,next_order,0.0012133
dem-sierra-S2-trace,static,seconds,pointwise_batch,0.0004771
dem-sierra-S2-trace,static,seconds,prepare,0.000692
dem-sierra-S2-trace,static,seconds,publish,8.3e-05
dem-sierra-S2-trace,static,seconds,receiver_stage,3.2633964000000004
dem-sierra-S2-trace,static,seconds,reservation,0.00017630000000000014
dem-sierra-S2-trace,static,seconds,sample_repair,0.0064569
dem-sierra-S2-trace,static,seconds,task_wall_sum_flip_recovery,0.04494310000000001
dem-sierra-S2-trace,static,seconds,task_wall_sum_height_hint_check,0.1271541
dem-sierra-S2-trace,static,seconds,task_wall_sum_height_hint_query,0.0130164
dem-sierra-S2-trace,static,seconds,task_wall_sum_height_hint_shadow,20.3267488
dem-sierra-S2-trace,static,seconds,task_wall_sum_pointwise_quality,22.765084599999998
dem-sierra-S2-trace,static,seconds,task_wall_sum_proposal,0.9240249
dem-sierra-S2-trace,static,seconds,task_wall_sum_receiver_certification,0.7300492
dem-sierra-S2-trace,static,seconds,view_order,0.0005258
dem-sierra-S2-trace,static,seconds,view_projection,0.007882
dem-sierra-S2-trace,static,seconds,view_refresh,0.0116107
dem-sierra-S2-trace,static,seconds,view_scores,0.0031221
dem-sierra-S2-trace,static,maxima,height_hint_entries,2048.0
dem-sierra-S2-trace,static,maxima,rationalBits,69.0
