zone,calls,inclusiveMs,selfMs
pool.task,1160,9073.542175999999,0.3984710000001286
gtp.task,1160,9073.143704999988,1062.9829310000027
gtp.item,4640,8010.160774000023,32.934946999993976
gtp.pointwise.certify,11234,7288.859194000002,7240.775575000139
profile.frame,29,1875.7384410000004,0.06900199999999757
tpi.cpu_ready,29,1875.6694389999998,3.258766999999964
pool.sleep,853,1845.5182049999953,1845.5182049999953
gtp.update,29,1697.5587440000004,0.10277700000001033
gtp.dispatch,174,1314.358533,0.8912629999999718
pool.parallel_for,145,1312.3654359999998,18.26667100000001
pool.wait,145,1293.9716290000001,1293.9716290000001
gtp.plan,29,1157.518723,2.619785000000027
gtp.apply,29,538.245099,9.742102000000019
gtp.receivers,26926,413.014194000002,413.014194000002
gtp.samples.prepare,29,394.6297389999999,394.6297389999999
gtp.receiver.source_height,23778,264.77162999999933,264.77162999999933
gtp.set_view,29,174.81719300000003,0.08998300000000317
gtp.samples.prepare_view,29,174.57697700000006,0.4738260000000006
gtp.pointwise.validate_batch,29,96.640024,96.640024
gtp.height_hint_check,7894,42.020448000000194,42.020448000000194
gtp.commit.prepare,29,24.077561,20.218342
gtp.flip_recovery,203,15.304675000000001,2.7276099999999994
gtp.reservation,29,12.641917,12.641917
gtp.samples.orders,29,9.727908,9.727908
gtp.measure,33,7.850168999999999,7.850168999999999
gtp.face_evidence,11234,6.063171000000013,6.063171000000013
gtp.samples.publish,29,5.447679,5.447679
gtp.mesh.prepare,29,4.298295999999999,0.431246
gtp.commit.publish,29,2.84971,2.84971
pool.complete,1113,2.0883000000000043,2.0883000000000043
gtp.height_hint_merge,29,1.6850360000000002,1.6850360000000002
gtp.ledger_merge,145,1.1018340000000004,1.1018340000000004
gtp.mesh.publish,29,0.559988,0.559988
gtp.samples.publish_view,29,0.140544,0.140544
pool.enqueue,145,0.12713600000000003,0.12713600000000003
gtp.mesh.consume,29,0.034734999999999995,0.034734999999999995
gtp.initialize,58,0.016798000000000007,0.016798000000000007
gtp.accepts,33,0.003030000000000002,0.003030000000000002
