frame,phase,frameMs,dispatchMs,taskSumMs,taskMaxMs,tasks,threads,waitMs,afterLastTaskMs,balanceRatio
13,mesh_fill,37.214449,0.167814,0.0285,0.01104,8,2,0.00015,0.086373,0.3226902173913044
14,view_projection,40.531643,4.791803,34.826526,4.621713,8,8,4.642528,0.075792,0.9419268894455368
14,view_scores,40.531643,3.075438,19.783902,2.912704,8,8,2.854403,0.056561,0.8490350375458681
14,receiver_stage,40.531643,10.055086,56.57488,9.906882,8,8,9.906813,0.060901,0.7138330707885691
14,face_fill,40.531643,0.127663,0.00188,0.00124,8,1,0.00014,0.087188,0.18951612903225806
14,mesh_fill,40.531643,0.158564,0.0436,0.013091,8,2,0.00172,0.067791,0.41631655335726836
15,view_projection,39.876357,4.080744,27.653487,3.865112,8,8,3.945461,0.078618,0.8943300672787748
15,view_scores,39.876357,2.797052,18.334846,2.655357,8,8,2.624207,0.048442,0.8631064485867624
15,receiver_stage,39.876357,10.681522,57.404531,10.545449,8,8,10.536359,0.051237,0.6804419968272569
15,face_fill,39.876357,0.130703,0.002271,0.001381,8,1,0.00013,0.080102,0.20555756698044894
15,mesh_fill,39.876357,0.130484,0.02115,0.00633,8,2,0.00012,0.064048,0.41765402843601895
16,view_projection,33.417902,4.647195,30.522005,4.33852,8,8,4.524231,0.043132,0.8793898898702783
16,view_scores,33.417902,1.779459,12.047148,1.676583,8,8,1.649076,0.05409,0.8981920370181494
16,receiver_stage,33.417902,9.322567,52.604645,9.128413,8,8,9.165124,0.047595,0.7203421476438456
16,face_fill,33.417902,0.147744,0.00246,0.00178,8,1,0.00014,0.092757,0.17275280898876405
16,mesh_fill,33.417902,0.154744,0.02172,0.00756,8,2,0.00014,0.080056,0.35912698412698413
17,view_projection,33.557836,3.371862,23.703085,3.186396,8,8,3.234548,0.060477,0.9298548030439406
17,view_scores,33.557836,2.908774,19.241159,2.77475,8,8,2.73474,0.076492,0.8667969636904226
17,receiver_stage,33.557836,10.643322,56.201125,10.42653,8,8,10.503308,0.061457,0.6737755154399402
17,face_fill,33.557836,0.125093,0.00209,0.00156,8,1,0.00022,0.081912,0.1674679487179487
17,mesh_fill,33.557836,0.142483,0.0789,0.062731,8,2,0.00011,0.010755,0.15721891887583492
18,view_projection,31.00404,3.714641,25.723625,3.52546,8,8,3.568617,0.052301,0.9120662622749939
18,view_scores,31.00404,2.223507,14.048651,2.106178,8,8,2.082393,0.045802,0.8337763356183571
18,receiver_stage,31.00404,10.654081,53.98538,10.422996,8,8,10.489857,0.087902,0.6474311704619287
18,face_fill,31.00404,0.155854,0.00547,0.00311,8,1,0.00026,0.080611,0.21985530546623794
18,mesh_fill,31.00404,0.127943,0.01119,0.00444,8,1,0.00012,0.074576,0.31503378378378377
19,view_projection,33.75463,4.557871,29.505865,4.185175,8,8,4.310144,0.085648,0.8812613869193044
19,view_scores,33.75463,2.738244,17.415155,2.579876,8,8,2.56426,0.049546,0.8437980643255721
19,receiver_stage,33.75463,9.447087,49.458395,9.217045,8,8,9.297012,0.054956,0.6707463590554239
19,face_fill,33.75463,0.133564,0.00878,0.00427,8,2,0.00014,0.071102,0.25702576112412173
19,mesh_fill,33.75463,0.163424,0.02231,0.00674,8,3,0.00012,0.047195,0.4137611275964391
20,view_projection,42.268433,5.522261,37.412469,5.316695,8,8,5.394048,0.054415,0.879598815617597
20,view_scores,42.268433,1.789996,11.012972,1.530429,8,8,1.642842,0.187149,0.8995004015214034
20,receiver_stage,42.268433,11.891399,58.765943,11.684786,8,8,11.747465,0.064097,0.628658742659044
20,face_fill,42.268433,0.137584,0.00915,0.006201,8,1,0.00012,0.091558,0.18444605708756653
20,mesh_fill,42.268433,0.136003,0.02005,0.00644,8,2,0.00011,0.075072,0.38916925465838503
21,view_projection,53.641881,5.041448,36.631092,4.873314,8,8,4.903685,0.047071,0.9395837206467715
21,view_scores,53.641881,1.701104,11.386441,1.599561,8,8,1.55804,0.050842,0.8898098447011399
21,receiver_stage,53.641881,11.622706,71.696474,11.380434,8,8,11.477232,0.097188,0.7874971420246363
21,face_fill,53.641881,0.193305,0.004071,0.002501,8,1,0.00016,0.096652,0.203468612554978
21,mesh_fill,53.641881,0.243566,0.037801,0.01804,8,2,0.00011,0.107707,0.26192488913525497
22,view_projection,37.05972,3.646629,26.004886,3.38624,8,8,3.496765,0.079283,0.959946947056322
22,view_scores,37.05972,3.245726,18.771889,3.062748,8,8,3.031211,0.078565,0.7661375095175966
22,receiver_stage,37.05972,9.745395,55.713759,9.536582,8,8,9.59288,0.057987,0.7302637228935903
22,face_fill,37.05972,0.133943,0.00337,0.00181,8,1,0.00012,0.086902,0.23273480662983426
22,mesh_fill,37.05972,0.162634,0.018531,0.0054,8,2,9e-05,0.085003,0.4289583333333333
23,view_projection,43.725059,3.905993,27.256964,3.797032,8,8,3.76674,0.046115,0.8973115054073812
23,view_scores,43.725059,2.239307,14.35607,2.097284,8,8,2.082713,0.050955,0.8556345969358465
23,receiver_stage,43.725059,12.736675,67.092934,12.57589,8,8,12.597751,0.052696,0.6668805746551537
23,face_fill,43.725059,0.151064,0.00369,0.00228,8,1,0.00015,0.096271,0.20230263157894737
