frame,rootIndex,task,thread,startMs,endMs,durationMs,fitCalls,fitMs,pointwiseCalls,pointwiseMs
3,108,receiver_stage/5,5,22.283441,22.500737,0.217296,7,0.198056,0,0.0
3,116,receiver_stage/5,5,22.500837,22.767074,0.266237,7,0.239865,0,0.0
3,122,receiver_stage/5,5,22.767134,23.033572,0.266438,7,0.227956,0,0.0
3,128,receiver_stage/5,5,23.033622,23.259539,0.225917,7,0.203595,0,0.0
3,133,receiver_stage/5,5,23.259629,23.500046,0.240417,7,0.220945,0,0.0
3,139,receiver_stage/5,5,23.500246,23.765503,0.265257,7,0.235126,0,0.0
3,145,receiver_stage/5,5,23.765543,24.00579,0.240247,7,0.215794,0,0.0
3,152,receiver_stage/5,5,24.00581,24.144284,0.138474,7,0.101412,0,0.0
3,159,receiver_stage/5,5,24.144344,24.768623,0.624279,1,0.076652,1,0.539835
3,7,receiver_stage/7,6,13.104745,13.336552,0.231807,7,0.116433,0,0.0
3,8,receiver_stage/7,6,13.336582,13.873528,0.536946,4,0.096444,1,0.34533
3,9,receiver_stage/7,6,13.873578,14.255849,0.382271,7,0.296498,0,0.0
3,11,receiver_stage/7,6,14.255969,19.699181,5.443212,1,0.212536,1,5.218916
3,55,receiver_stage/7,6,19.699271,20.094903,0.395632,7,0.350661,0,0.0
3,60,receiver_stage/7,6,20.094943,20.251267,0.156324,7,0.127344,0,0.0
3,65,receiver_stage/7,6,20.251307,20.424882,0.173575,7,0.145185,0,0.0
3,69,receiver_stage/7,6,20.425162,20.796783,0.371621,7,0.33989,0,0.0
3,74,receiver_stage/7,6,20.796843,21.147753,0.35091,7,0.3161,0,0.0
3,83,receiver_stage/7,6,21.147783,21.304018,0.156235,7,0.128924,0,0.0
3,87,receiver_stage/7,6,21.304138,21.606867,0.302729,7,0.276858,0,0.0
3,94,receiver_stage/7,6,21.606997,21.953447,0.34645,7,0.313789,0,0.0
3,100,receiver_stage/7,6,21.953487,22.324417,0.37093,7,0.342079,0,0.0
3,111,receiver_stage/7,6,22.324447,22.491092,0.166645,7,0.137884,0,0.0
3,115,receiver_stage/7,6,22.491132,22.995197,0.504065,7,0.460215,0,0.0
3,127,receiver_stage/7,6,22.995267,23.295176,0.299909,7,0.268299,0,0.0
3,134,receiver_stage/7,6,23.295236,23.599764,0.304528,7,0.267237,0,0.0
3,141,receiver_stage/7,6,23.599804,23.947935,0.348131,7,0.31828,0,0.0
3,150,receiver_stage/7,6,23.948005,24.13481,0.186805,7,0.144523,0,0.0
3,158,receiver_stage/7,6,24.13485,24.910942,0.776092,1,0.088923,1,0.673099
3,3,receiver_stage/3,7,13.043867,14.649044,1.605177,7,0.776103,1,0.719481
3,14,receiver_stage/3,7,14.649114,15.592871,0.943757,7,0.386751,1,0.484574
3,19,receiver_stage/3,7,15.592941,16.521948,0.929007,1,0.063961,1,0.857735
3,22,receiver_stage/3,7,16.522078,16.709264,0.187186,7,0.080384,0,0.0
3,24,receiver_stage/3,7,16.709634,17.029903,0.320269,7,0.282668,0,0.0
3,26,receiver_stage/3,7,17.029993,17.2624,0.232407,7,0.212267,0,0.0
3,29,receiver_stage/3,7,17.26251,17.489296,0.226786,7,0.204815,0,0.0
3,32,receiver_stage/3,7,17.489406,17.61324,0.123834,7,0.099522,0,0.0
3,35,receiver_stage/3,7,17.61333,21.169463,3.556133,1,0.262028,1,3.285015
3,84,receiver_stage/3,7,21.175163,21.40357,0.228407,7,0.192133,0,0.0
3,89,receiver_stage/3,7,21.4036,21.537424,0.133824,7,0.099362,0,0.0
3,92,receiver_stage/3,7,21.537704,21.654957,0.117253,7,0.097902,0,0.0
3,96,receiver_stage/3,7,21.654987,21.960346,0.305359,7,0.282509,0,0.0
3,101,receiver_stage/3,7,21.960406,22.217063,0.256657,7,0.225345,0,0.0
3,106,receiver_stage/3,7,22.217213,22.473311,0.256098,7,0.230666,0,0.0
3,114,receiver_stage/3,7,22.473421,22.727638,0.254217,7,0.224197,0,0.0
3,121,receiver_stage/3,7,22.728118,22.851082,0.122964,7,0.098004,0,0.0
3,126,receiver_stage/3,7,22.851162,23.162931,0.311769,7,0.270629,0,0.0
3,132,receiver_stage/3,7,23.162981,23.397008,0.234027,7,0.211256,0,0.0
3,138,receiver_stage/3,7,23.397138,23.650175,0.253037,7,0.218856,0,0.0
3,142,receiver_stage/3,7,23.650205,23.878122,0.227917,7,0.195254,0,0.0
3,147,receiver_stage/3,7,23.878152,24.003095,0.124943,7,0.091342,0,0.0
3,151,receiver_stage/3,7,24.003325,24.119429,0.116104,7,0.093804,0,0.0
3,156,receiver_stage/3,7,24.119699,24.239692,0.119993,7,0.09822,0,0.0
3,0,receiver_stage/0,8,13.003552,19.523761,6.520209,1,0.208857,1,6.279482
3,52,receiver_stage/0,8,19.524021,19.803519,0.279498,7,0.247595,0,0.0
3,56,receiver_stage/0,8,19.803899,20.085287,0.281388,7,0.250695,0,0.0
3,59,receiver_stage/0,8,20.086097,20.219951,0.133854,7,0.106804,0,0.0
3,64,receiver_stage/0,8,20.220211,20.348555,0.128344,7,0.096054,0,0.0
3,68,receiver_stage/0,8,20.348825,20.591312,0.242487,7,0.221116,0,0.0
3,72,receiver_stage/0,8,20.591702,20.89194,0.300238,7,0.275536,0,0.0
3,78,receiver_stage/0,8,20.89208,21.868449,0.976369,2,0.085761,1,0.871456
3,99,receiver_stage/0,8,21.868599,22.092975,0.224376,7,0.196656,0,0.0
3,104,receiver_stage/0,8,22.093075,22.316912,0.223837,7,0.200956,0,0.0
3,109,receiver_stage/0,8,22.316942,22.446205,0.129263,7,0.105972,0,0.0
3,113,receiver_stage/0,8,22.446296,25.069931,2.623635,2,0.149614,1,2.462331
3,4,receiver_stage/4,9,13.052333,14.569097,1.516764,7,0.669008,1,0.720281
3,13,receiver_stage/4,9,14.569157,15.529515,0.960358,7,0.38945,1,0.491964
3,18,receiver_stage/4,9,15.529675,16.464882,0.935207,1,0.066172,1,0.856665
3,21,receiver_stage/4,9,16.465172,17.227844,0.762672,7,0.372562,1,0.320939
3,28,receiver_stage/4,9,17.227994,17.452471,0.224477,7,0.195466,0,0.0
3,31,receiver_stage/4,9,17.452641,17.580764,0.128123,7,0.10069,0,0.0
3,33,receiver_stage/4,9,17.580904,17.739829,0.158925,7,0.134385,0,0.0
3,36,receiver_stage/4,9,17.739889,17.870813,0.130924,7,0.100312,0,0.0
3,38,receiver_stage/4,9,17.870893,17.981126,0.110233,7,0.090682,0,0.0
3,40,receiver_stage/4,9,17.981276,18.205872,0.224596,7,0.200604,0,0.0
3,42,receiver_stage/4,9,18.205962,18.436379,0.230417,7,0.210085,0,0.0
3,44,receiver_stage/4,9,18.436449,18.656776,0.220327,7,0.195056,0,0.0
3,46,receiver_stage/4,9,18.656876,19.006321,0.349445,7,0.317984,0,0.0
3,49,receiver_stage/4,9,19.006401,19.283839,0.277438,7,0.226236,0,0.0
3,50,receiver_stage/4,9,19.283899,19.547846,0.263947,7,0.231375,0,0.0
3,53,receiver_stage/4,9,19.547896,22.682277,3.134381,2,0.36327,2,2.745919
3,119,receiver_stage/4,9,22.682327,22.837682,0.155355,7,0.123274,0,0.0
