frame,phase,task,thread,startMs,endMs,durationMs
5,view_projection,view_projection/7,7,0.156529,4.449427,4.292898
5,view_projection,view_projection/0,8,0.053931,4.116592,4.062661
5,view_projection,view_projection/2,9,0.077072,4.04182,3.964748
5,view_scores,view_scores/0,2,4.772876,7.110836,2.33796
5,view_scores,view_scores/7,3,4.888355,6.113882,1.225527
5,view_scores,view_scores/5,4,4.844468,6.464866,1.620398
5,view_scores,view_scores/4,5,4.828623,7.020773,2.19215
5,view_scores,view_scores/1,6,4.786812,7.121941,2.335129
5,view_scores,view_scores/6,7,4.86393,6.315443,1.451513
5,view_scores,view_scores/3,8,4.812232,7.062259,2.250027
5,view_scores,view_scores/2,9,4.808513,6.713399,1.904886
5,receiver_stage,receiver_stage/7,2,7.695164,17.67384,9.978676
5,receiver_stage,receiver_stage/0,3,7.602581,18.035461,10.43288
5,receiver_stage,receiver_stage/2,4,7.634256,18.18554,10.551284
5,receiver_stage,receiver_stage/5,5,7.682478,18.078097,10.395619
5,receiver_stage,receiver_stage/4,6,7.680138,17.717636,10.037498
5,receiver_stage,receiver_stage/1,7,7.619076,19.596447,11.977371
5,receiver_stage,receiver_stage/6,8,7.684362,18.012165,10.327803
5,receiver_stage,receiver_stage/3,9,7.659277,17.789298,10.130021
5,face_fill,face_fill/0,2,20.38087,20.38187,0.001
5,face_fill,face_fill/1,2,20.38228,20.38235,7e-05
5,face_fill,face_fill/2,2,20.382631,20.3827,6.9e-05
5,face_fill,face_fill/3,2,20.38286,20.38291,5e-05
5,face_fill,face_fill/4,2,20.38296,20.38303,7e-05
5,face_fill,face_fill/5,2,20.38317,20.3833,0.00013
5,face_fill,face_fill/6,2,20.38343,20.3835,7e-05
5,face_fill,face_fill/7,2,20.387761,20.387811,5e-05
5,mesh_fill,mesh_fill/0,2,21.709875,21.712425,0.00255
5,mesh_fill,mesh_fill/1,2,21.713085,21.713315,0.00023
5,mesh_fill,mesh_fill/2,2,21.713935,21.714425,0.00049
5,mesh_fill,mesh_fill/3,2,21.714815,21.714945,0.00013
5,mesh_fill,mesh_fill/4,2,21.714995,21.715385,0.00039
