frame,rootIndex,task,thread,startMs,endMs,durationMs,fitCalls,fitMs,pointwiseCalls,pointwiseMs
3,29,receiver_stage/1,6,11.79367,11.969185,0.175515,7,0.089052,0,0.0
3,34,receiver_stage/1,6,11.970226,12.082919,0.112693,7,0.068082,0,0.0
3,38,receiver_stage/1,6,12.083599,13.159341,1.075742,7,0.528955,1,0.396282
3,46,receiver_stage/1,6,13.159671,13.768389,0.608718,7,0.519196,0,0.0
3,54,receiver_stage/1,6,13.769159,14.267214,0.498055,7,0.424743,0,0.0
3,59,receiver_stage/1,6,14.267414,14.598534,0.33112,7,0.282998,0,0.0
3,69,receiver_stage/1,6,14.598934,14.839501,0.240567,7,0.145275,0,0.0
3,73,receiver_stage/1,6,14.839751,14.975835,0.136084,7,0.058899,0,0.0
3,76,receiver_stage/1,6,14.975895,15.170211,0.194316,7,0.116523,0,0.0
3,80,receiver_stage/1,6,15.170301,15.278634,0.108333,7,0.069362,0,0.0
3,83,receiver_stage/1,6,15.278774,15.595863,0.317089,7,0.283787,0,0.0
3,93,receiver_stage/1,6,15.595993,15.803359,0.207366,7,0.087162,0,0.0
3,96,receiver_stage/1,6,15.803419,15.901352,0.097933,7,0.054131,0,0.0
3,99,receiver_stage/1,6,15.901453,16.327935,0.426482,7,0.383041,0,0.0
3,110,receiver_stage/1,6,16.328025,16.713016,0.384991,7,0.348249,0,0.0
3,120,receiver_stage/1,6,16.713126,17.038316,0.32519,7,0.283027,0,0.0
3,127,receiver_stage/1,6,17.038426,17.349285,0.310859,7,0.266068,0,0.0
3,133,receiver_stage/1,6,17.349396,17.795939,0.446543,7,0.406692,0,0.0
3,145,receiver_stage/1,6,17.795999,18.279423,0.483424,7,0.420012,0,0.0
3,154,receiver_stage/1,6,18.279643,18.799949,0.520306,7,0.441444,0,0.0
3,4,receiver_stage/4,7,9.956097,10.189893,0.233796,6,0.147175,0,0.0
3,10,receiver_stage/4,7,10.190003,11.346838,1.156835,7,0.583757,1,0.459393
3,20,receiver_stage/4,7,11.347158,11.536054,0.188896,7,0.132893,0,0.0
3,24,receiver_stage/4,7,11.536864,11.812586,0.275722,7,0.183388,0,0.0
3,30,receiver_stage/4,7,11.812676,12.000022,0.187346,4,0.094952,0,0.0
3,35,receiver_stage/4,7,12.001062,12.104625,0.103563,4,0.070812,0,0.0
3,39,receiver_stage/4,7,12.104665,12.467256,0.362591,7,0.143425,0,0.0
3,40,receiver_stage/4,7,12.467676,12.647901,0.180225,7,0.115522,0,0.0
3,42,receiver_stage/4,7,12.648151,12.845627,0.197476,7,0.151754,0,0.0
3,44,receiver_stage/4,7,12.845767,13.686262,0.840495,7,0.717302,0,0.0
3,50,receiver_stage/4,7,13.686342,13.820436,0.134094,7,0.066372,0,0.0
3,55,receiver_stage/4,7,13.820766,14.373082,0.552316,7,0.468204,0,0.0
3,62,receiver_stage/4,7,14.373412,14.600489,0.227077,7,0.186047,0,0.0
3,70,receiver_stage/4,7,14.600659,14.802915,0.202256,7,0.058862,0,0.0
3,72,receiver_stage/4,7,14.803475,15.074933,0.271458,7,0.212977,0,0.0
3,79,receiver_stage/4,7,15.075013,15.325991,0.250978,7,0.185206,0,0.0
3,86,receiver_stage/4,7,15.326441,15.467225,0.140784,4,0.110492,0,0.0
3,91,receiver_stage/4,7,15.467285,15.834396,0.367111,7,0.31332,0,0.0
3,97,receiver_stage/4,7,15.834496,16.217757,0.383261,7,0.319559,0,0.0
3,105,receiver_stage/4,7,16.217877,16.32206,0.104183,7,0.067011,0,0.0
3,109,receiver_stage/4,7,16.32209,16.581718,0.259628,7,0.224548,0,0.0
3,115,receiver_stage/4,7,16.581798,16.956979,0.375181,7,0.295768,0,0.0
3,123,receiver_stage/4,7,16.957299,17.600228,0.642929,7,0.576976,0,0.0
3,140,receiver_stage/4,7,17.600298,17.879507,0.279209,7,0.189583,0,0.0
3,147,receiver_stage/4,7,17.879567,18.405882,0.526315,7,0.453632,0,0.0
3,155,receiver_stage/4,7,18.406012,18.773663,0.367651,7,0.306999,0,0.0
3,0,receiver_stage/0,8,9.870983,10.43508,0.564097,4,0.438284,0,0.0
3,12,receiver_stage/0,8,10.43605,10.711858,0.275808,7,0.226435,0,0.0
3,14,receiver_stage/0,8,10.711898,11.010087,0.298189,7,0.263095,0,0.0
3,17,receiver_stage/0,8,11.010227,11.512652,0.502425,7,0.425092,0,0.0
3,23,receiver_stage/0,8,11.512742,11.729109,0.216367,7,0.140125,0,0.0
3,28,receiver_stage/0,8,11.729409,13.541502,1.812093,8,0.68234,3,1.018961
3,49,receiver_stage/0,8,13.541652,13.698107,0.156455,7,0.100473,0,0.0
3,51,receiver_stage/0,8,13.704307,13.829371,0.125064,7,0.082391,0,0.0
3,56,receiver_stage/0,8,13.829601,14.347466,0.517865,7,0.450873,0,0.0
3,60,receiver_stage/0,8,14.347557,14.443209,0.095652,7,0.047111,0,0.0
3,65,receiver_stage/0,8,14.443329,14.756939,0.31361,7,0.271357,0,0.0
3,71,receiver_stage/0,8,14.757639,14.903653,0.146014,7,0.04334,0,0.0
3,75,receiver_stage/0,8,14.903833,15.057067,0.153234,7,0.081562,0,0.0
3,77,receiver_stage/0,8,15.057178,15.274024,0.216846,7,0.145443,0,0.0
3,82,receiver_stage/0,8,15.274124,15.390067,0.115943,7,0.07057,0,0.0
3,87,receiver_stage/0,8,15.390238,15.887892,0.497654,7,0.451373,0,0.0
3,98,receiver_stage/0,8,15.887952,16.386197,0.498245,7,0.440253,0,0.0
3,111,receiver_stage/0,8,16.386307,16.48826,0.101953,7,0.065191,0,0.0
3,112,receiver_stage/0,8,16.48833,16.583433,0.095103,7,0.066031,0,0.0
3,116,receiver_stage/0,8,16.583613,16.82828,0.244667,7,0.165046,0,0.0
3,121,receiver_stage/0,8,16.82838,16.963994,0.135614,7,0.08305,0,0.0
3,124,receiver_stage/0,8,16.964114,17.197021,0.232907,7,0.155064,0,0.0
3,130,receiver_stage/0,8,17.197131,17.279064,0.081933,7,0.050273,0,0.0
3,132,receiver_stage/0,8,17.279174,17.598583,0.319409,7,0.286538,0,0.0
3,139,receiver_stage/0,8,17.598673,17.734927,0.136254,7,0.074903,0,0.0
3,143,receiver_stage/0,8,17.734977,17.925743,0.190766,7,0.118514,0,0.0
3,148,receiver_stage/0,8,17.925853,22.644413,4.71856,1,0.186396,1,4.523224
3,3,receiver_stage/3,9,9.923775,10.046499,0.122724,4,0.02537,0,0.0
3,8,receiver_stage/3,9,10.046629,14.571883,4.525254,2,0.495505,1,4.001659
3,67,receiver_stage/3,9,14.571943,15.423658,0.851715,7,0.660797,1,0.114344
3,88,receiver_stage/3,9,15.423788,15.80321,0.379422,7,0.33155,0,0.0
3,95,receiver_stage/3,9,15.80327,15.928413,0.125143,7,0.078992,0,0.0
3,101,receiver_stage/3,9,15.928444,16.230452,0.302008,7,0.151714,0,0.0
3,107,receiver_stage/3,9,16.230492,16.588083,0.357591,7,0.31396,0,0.0
3,117,receiver_stage/3,9,16.588173,17.120259,0.532086,7,0.481205,0,0.0
3,129,receiver_stage/3,9,17.120369,17.255533,0.135164,7,0.090264,0,0.0
3,131,receiver_stage/3,9,17.255613,17.520191,0.264578,7,0.225176,0,0.0
3,137,receiver_stage/3,9,17.520311,17.789189,0.268878,7,0.194805,0,0.0
3,144,receiver_stage/3,9,17.789409,18.128729,0.33932,7,0.283598,0,0.0
3,152,receiver_stage/3,9,18.129159,18.50394,0.374781,7,0.318818,0,0.0
3,157,receiver_stage/3,9,18.50408,18.610563,0.106483,7,0.064892,0,0.0
3,159,receiver_stage/3,9,18.610843,18.788108,0.177265,7,0.138714,0,0.0
4,5,receiver_stage/5,2,7.522669,7.599481,0.076812,4,0.021881,0,0.0
4,8,receiver_stage/5,2,7.599811,8.91154,1.311729,6,0.933678,1,0.281898
4,20,receiver_stage/5,2,8.91204,10.007003,1.094963,7,0.570839,1,0.435463
4,34,receiver_stage/5,2,10.007313,10.168727,0.161414,4,0.077893,0,0.0
4,36,receiver_stage/5,2,10.169327,10.92903,0.759703,6,0.590837,1,0.078132
4,40,receiver_stage/5,2,10.92912,11.036483,0.107363,7,0.069901,0,0.0
4,42,receiver_stage/5,2,11.036563,11.147886,0.111323,7,0.076132,0,0.0
4,45,receiver_stage/5,2,11.147976,12.204118,1.056142,7,0.548706,1,0.407872
4,58,receiver_stage/5,2,12.204218,12.590009,0.385791,7,0.291289,0,0.0
4,61,receiver_stage/5,2,12.590119,13.126255,0.536136,7,0.461812,0,0.0
4,73,receiver_stage/5,2,13.126315,13.649461,0.523146,7,0.462112,0,0.0
4,84,receiver_stage/5,2,13.649671,14.118275,0.468604,7,0.411851,0,0.0
