frame,phase,task,thread,startMs,endMs,durationMs
5,view_projection,view_projection/4,7,0.160244,4.783224,4.62298
5,view_projection,view_projection/2,8,0.104568,4.24409,4.139522
5,view_projection,view_projection/5,9,0.17473,3.959682,3.784952
5,view_scores,view_scores/3,2,4.924207,6.373355,1.449148
5,view_scores,view_scores/6,3,4.97927,6.224362,1.245092
5,view_scores,view_scores/2,4,4.909068,6.460288,1.55122
5,view_scores,view_scores/5,5,4.953274,6.282418,1.329144
5,view_scores,view_scores/1,6,4.893817,6.391296,1.497479
5,view_scores,view_scores/7,7,4.99157,6.053748,1.062178
5,view_scores,view_scores/4,8,4.938293,6.434172,1.495879
5,view_scores,view_scores/0,9,4.876016,6.376635,1.500619
5,receiver_stage,receiver_stage/3,2,7.010112,13.692905,6.682793
5,receiver_stage,receiver_stage/1,3,6.980201,19.313367,12.333166
5,receiver_stage,receiver_stage/7,4,7.07772,12.600548,5.522828
5,receiver_stage,receiver_stage/2,5,6.995862,18.160422,11.16456
5,receiver_stage,receiver_stage/5,6,7.042508,13.413959,6.371451
5,receiver_stage,receiver_stage/0,7,6.968571,29.897777,22.929206
5,receiver_stage,receiver_stage/6,8,7.058514,15.627436,8.568922
5,receiver_stage,receiver_stage/4,9,7.029697,13.201958,6.172261
5,face_fill,face_fill/0,4,31.037962,31.039092,0.00113
5,face_fill,face_fill/1,4,31.040422,31.040462,4e-05
5,face_fill,face_fill/2,4,31.040522,31.040592,7e-05
5,face_fill,face_fill/3,4,31.040732,31.040802,7e-05
5,face_fill,face_fill/4,4,31.040962,31.041002,4e-05
5,face_fill,face_fill/5,4,31.041132,31.041192,6e-05
5,face_fill,face_fill/6,4,31.041262,31.041312,5e-05
5,face_fill,face_fill/7,4,31.041362,31.041422,6e-05
5,mesh_fill,mesh_fill/0,4,32.268349,32.270629,0.00228
5,mesh_fill,mesh_fill/1,4,32.275489,32.275679,0.00019
5,mesh_fill,mesh_fill/2,4,32.275769,32.276009,0.00024
5,mesh_fill,mesh_fill/3,4,32.276079,32.276209,0.00013
5,mesh_fill,mesh_fill/4,4,32.276259,32.276509,0.00025
5,mesh_fill,mesh_fill/5,4,32.276559,32.276669,0.00011
