case,frame,N,reference,referenceN,relativeCountDifference,withinTenPercent,status,Emax,referenceEmax
peking547-b100000-classic-t1,15,100000.0,peking547-cbt-a8,80193.0,0.24699163268614477,False,ok,0.34919519544202426,1.0698178392862385
peking547-b100000-classic-t1,16,100000.0,peking547-cbt-a4,110004.0,0.09094214755827057,True,ok,0.3308686511891794,0.6539445661599348
peking547-b100000-classic-t1,23,100000.0,peking547-cbt-a8,85238.0,0.17318566836387528,False,ok,0.3308686511891794,0.7588898510752164
peking547-b100000-dod-t8,2,99999.0,peking547-cbt-a16,48.0,2082.3125,False,ok,0.3308686511891794,8.091670543434704
peking547-b100000-dod-t8,15,100000.0,peking547-cbt-a8,80193.0,0.24699163268614477,False,ok,0.34919519544202426,1.0698178392862385
peking547-b100000-dod-t8,16,99999.0,peking547-cbt-a4,110004.0,0.09095123813679507,True,ok,0.3308686511891794,0.6539445661599348
peking547-b100000-dod-t8,23,99999.0,peking547-cbt-a8,85238.0,0.1731739365071916,False,ok,0.3308686511891794,0.7588898510752164
peking547-b100000-transactional-t8,2,99999.0,peking547-cbt-a16,48.0,2082.3125,False,ok,0.3308686511891794,8.091670543434704
peking547-b100000-transactional-t8,15,99999.0,peking547-cbt-a8,80193.0,0.2469791627698179,False,ok,1.9965571109865088,1.0698178392862385
peking547-b100000-transactional-t8,16,99999.0,peking547-cbt-a4,110004.0,0.09095123813679507,True,ok,0.3308686511891794,0.6539445661599348
peking547-b100000-transactional-t8,23,99999.0,peking547-cbt-a8,85238.0,0.1731739365071916,False,ok,0.3308686511891794,0.7588898510752164
peking547-b200000-classic-t1,2,200000.0,peking547-cbt-a16,48.0,4165.666666666667,False,ok,0.20915012134511052,8.091670543434704
peking547-b200000-classic-t1,15,200000.0,peking547-cbt-a4,130269.0,0.535284680161819,False,ok,0.19377242496389396,1.0698178392862385
peking547-b200000-classic-t1,16,200000.0,peking547-cbt-a4,110004.0,0.8181157048834589,False,ok,0.20915012134511052,0.6539445661599348
peking547-b200000-classic-t1,23,200000.0,peking547-cbt-a4,140913.0,0.41931546415163967,False,ok,0.20915012134511052,0.407000259459492
peking547-b200000-dod-t8,2,200000.0,peking547-cbt-a16,48.0,4165.666666666667,False,ok,0.20915012134511052,8.091670543434704
peking547-b200000-dod-t8,15,199999.0,peking547-cbt-a4,130269.0,0.5352770037384182,False,ok,0.19377242496389396,1.0698178392862385
peking547-b200000-dod-t8,16,200000.0,peking547-cbt-a4,110004.0,0.8181157048834589,False,ok,0.20915012134511052,0.6539445661599348
peking547-b200000-dod-t8,23,200000.0,peking547-cbt-a4,140913.0,0.41931546415163967,False,ok,0.20915012134511052,0.407000259459492
peking547-b200000-transactional-t8,2,200000.0,peking547-cbt-a16,48.0,4165.666666666667,False,ok,0.20915012134511052,8.091670543434704
peking547-b200000-transactional-t8,15,200000.0,peking547-cbt-a4,130269.0,0.535284680161819,False,ok,1.9965571109865088,1.0698178392862385
peking547-b200000-transactional-t8,16,200000.0,peking547-cbt-a4,110004.0,0.8181157048834589,False,ok,0.20915012134511052,0.6539445661599348
peking547-b200000-transactional-t8,23,200000.0,peking547-cbt-a4,140913.0,0.41931546415163967,False,ok,0.20915012134511052,0.407000259459492
peking547-b50000-classic-t1,2,50000.0,peking547-cbt-a16,48.0,1040.6666666666667,False,ok,0.44188556383409333,8.091670543434704
peking547-b50000-classic-t1,15,50000.0,peking547-cbt-a16,45112.0,0.10835254477744272,False,ok,0.418727498700991,1.0698178392862385
peking547-b50000-classic-t1,16,50000.0,peking547-cbt-a8,63132.0,0.2080086168662485,False,ok,0.44188556383409333,0.7588898510752164
peking547-b50000-classic-t1,23,50000.0,peking547-cbt-a16,45844.0,0.09065526568362281,True,ok,0.44188556383409333,0.9279701549916926
peking547-b50000-dod-t8,2,49999.0,peking547-cbt-a16,48.0,1040.6458333333333,False,ok,0.44188556383409333,8.091670543434704
peking547-b50000-dod-t8,15,50000.0,peking547-cbt-a16,45112.0,0.10835254477744272,False,ok,0.418727498700991,1.0698178392862385
peking547-b50000-dod-t8,16,49999.0,peking547-cbt-a8,63132.0,0.20802445669391112,False,ok,0.44188556383409333,0.7588898510752164
peking547-b50000-dod-t8,23,49999.0,peking547-cbt-a16,45844.0,0.09063345257830902,True,ok,0.44188556383409333,0.9279701549916926
peking547-b50000-transactional-t8,2,49999.0,peking547-cbt-a16,48.0,1040.6458333333333,False,ok,0.44188556383409333,8.091670543434704
peking547-b50000-transactional-t8,15,49999.0,peking547-cbt-a16,45112.0,0.10833037772654719,False,ok,1.9965571109865088,1.0698178392862385
peking547-b50000-transactional-t8,16,49999.0,peking547-cbt-a8,63132.0,0.20802445669391112,False,ok,0.44188556383409333,0.7588898510752164
peking547-b50000-transactional-t8,23,49999.0,peking547-cbt-a16,45844.0,0.09063345257830902,True,ok,0.44188556383409333,0.9279701549916926
