run,configuration,case,algorithm,cpuTimeMeaning,warmCpuMs,warmFrameMs,warmP95CpuMs,warmMaxCpuMs,gpuComputeMs,gpuDrawMs,initialCapturedN,finalCapturedN,minimumCapturedN,maximumCapturedN,raw,examined,receivers,need,feasible,exchanges,free,pairs,conflicts,donorReuse,touches,evaluations,vertexWrites,indexWrites
r1-generated-ridge-cbt-a8,eeba721acb032ab7d1ac90fb9c2d01aaa865f39c1434b69cd998e42208ddcbbe,generated-ridge-cbt-a8,cbt,host command recording,0.03732688180221024,0.8220795698924731,0.050700001418590546,0.08380000293254852,0.08170936223897306,0.01957872521725821,,,,,,,,,,,,,,,,,,
r1-peking547-b100000-classic-t1,01b61705d78f4b0248b9b04cbdc040d2c6da20c654079fb0efde1b7a132e31e5,peking547-b100000-classic-t1,classic,complete CPU update,225.88238888695128,228.37460000000002,333.08587646484375,573.57421875,,,100000.0,100000.0,100000.0,100000.0,,,,,,,,,,,,,,
r1-peking547-b100000-dod-t8,abb420a5ff72b66b7f14694060d0ab6947c74cda214c377fadf432159534de5e,peking547-b100000-dod-t8,dod,complete CPU update,138.26610201881044,141.6021,220.193603515625,311.2972106933594,,,99999.0,99999.0,99999.0,100000.0,,,,,,,,,,,,,,
r1-peking547-b100000-transactional-t8,6ed17f1185eeaac863c1111c060642cf2461aad1943d9c8a5be3c23ffaf3c228,peking547-b100000-transactional-t8,transactional,complete CPU update,62.19086746942429,62.95700476190476,216.22950744628906,251.2375030517578,,,99999.0,99999.0,99999.0,99999.0,2304963.0,7680.0,412.0,412.0,412.0,173.0,0.0,79672.0,69987.0,5327.0,429077.0,26937776.0,303291.0,306477.0
r1-peking547-b200000-classic-t1,5ad43194d0ae5d933f30fbbae9fe29bcbe8aff83b6589145621a9476337175fa,peking547-b200000-classic-t1,classic,complete CPU update,490.53453354608445,494.86579523809525,711.5381469726562,1129.2454833984375,,,200000.0,200000.0,200000.0,200000.0,,,,,,,,,,,,,,
r1-peking547-b200000-dod-t8,adc6c5f2f0d1a2aa6c273c0a3c9ba67193ee3cae6052e83aaad649dde697a576,peking547-b200000-dod-t8,dod,complete CPU update,343.1082080659412,348.03664761904764,508.46240234375,804.03076171875,,,200000.0,200000.0,199999.0,200000.0,,,,,,,,,,,,,,
r1-peking547-b200000-transactional-t8,0fe355d678854765e3545727db1040702b3729f2d9d045ef16adbd32a6a3439c,peking547-b200000-transactional-t8,transactional,complete CPU update,502.4704807826451,503.3878571428572,3145.7646484375,3504.5458984375,,,200000.0,200000.0,200000.0,200000.0,4368289.0,15360.0,1114.0,1114.0,1114.0,522.0,0.0,412142.0,355191.0,48240.0,786401.0,26983753.0,609588.0,618948.0
r1-peking547-b50000-classic-t1,1196acc201b207cbf559978d043d77302090394ad5b59dd131e9b75a494f2150,peking547-b50000-classic-t1,classic,complete CPU update,107.80293746221633,109.33082857142857,154.9008026123047,286.8506774902344,,,50000.0,50000.0,50000.0,50000.0,,,,,,,,,,,,,,
r1-peking547-b50000-dod-t8,dad0f8db375276c73bfc6721b65f3592c2e5b08ccecc1f8dee41b70df82e2a33,peking547-b50000-dod-t8,dod,complete CPU update,58.753980454944426,60.762638095238096,88.07240295410156,151.7368927001953,,,49999.0,49999.0,49999.0,50000.0,,,,,,,,,,,,,,
r1-peking547-b50000-transactional-t1,f465d2c4d412982bec70567f3977779fd735bca1880bead215c3c76b65d212d1,peking547-b50000-transactional-t1,transactional,complete CPU update,129.07471061888197,129.89884761904761,278.5447082519531,292.7080993652344,,,49999.0,49999.0,49999.0,49999.0,1190653.0,3840.0,308.0,308.0,308.0,145.0,0.0,28580.0,23551.0,4127.0,469533.0,26960324.0,152655.0,155226.0
r1-peking547-b50000-transactional-t8,213559c1d6f0f84fbef44566ae5a3ae2a679316bdcb2200de07d899b58d15ec6,peking547-b50000-transactional-t8,transactional,complete CPU update,37.70406250726609,38.50479047619048,131.41529846191406,137.71560668945312,,,49999.0,49999.0,49999.0,49999.0,1190653.0,3840.0,308.0,308.0,308.0,145.0,0.0,28580.0,23551.0,4127.0,469533.0,26960324.0,152655.0,155226.0
r1-peking547-cbt-a16,34595dd6be4fba239ef2abccbfb0662c83c788be677afb95daa83c657efd0783,peking547-cbt-a16,cbt,host command recording,0.040566666495232356,0.3725952380952381,0.05999999865889549,0.06419999897480011,0.08751831595834933,0.014086736929848007,,,,,,,,,,,,,,,,,,
r1-peking547-cbt-a4,06c5ba862c982c55f04bbb726316f197828d5f5c97fd8bfb1a5b1fe266ea3a8d,peking547-cbt-a4,cbt,host command recording,0.04113809524902275,0.8588333333333333,0.06279999762773514,0.1128000020980835,0.10744758440475714,0.02264252653051364,,,,,,,,,,,,,,,,,,
r1-peking547-cbt-a8,9476fc0c35c7830b8a27be5741d88b0f191ab8db7fa65fd455e86f05097752e6,peking547-cbt-a8,cbt,host command recording,0.035528571832747685,0.21241904761904762,0.058800000697374344,0.0714000016450882,0.08715284321653216,0.01854147362571798,,,,,,,,,,,,,,,,,,
r2-dem-canyon-b50000-classic-t1,3e22f7658e73b2e4cd53f798a179a450bc1dae4b4a6b37060f1c6a10af446ec4,dem-canyon-b50000-classic-t1,classic,complete CPU update,45.5395827857397,46.648672043010755,63.36819839477539,71.4761962890625,,,50000.0,50000.0,13017.0,50000.0,,,,,,,,,,,,,,
r2-dem-canyon-b50000-dod-t8,49965481f8fe326feaf6aed69044d3a96e729d2452e5307b2610c62638fea894,dem-canyon-b50000-dod-t8,dod,complete CPU update,18.97370433807373,20.09516989247312,30.962900161743164,34.53179931640625,,,50000.0,50000.0,13017.0,50000.0,,,,,,,,,,,,,,
r2-dem-canyon-b50000-transactional-t1,23b370ec46474ef059bf856c39f57ae2272005cea959e0a3102b93ba3d2e4442,dem-canyon-b50000-transactional-t1,transactional,complete CPU update,88.46277913739604,89.19918279569893,185.59170532226562,200.8343048095703,,,50000.0,50000.0,50000.0,50000.0,390996.0,15360.0,165.0,165.0,163.0,77.0,0.0,15154.0,8843.0,491.0,508176.0,102431196.0,151713.0,153339.0
