case,arm,frame,warmup,hash,faces,raw,examined,receivers,need,feasible,exchanges,free,pairs,conflicts,cpuMs,viewMs,receiverMs,donorMs,reservationMs,sampleRepairMs
peking547-b50000-transactional-t8,B,5,0,18435347681902994536,49999,0,0,0,0,0,0,0,0,0,14.806599617004395,14.767000000000001,0,0,9.9999999999999991e-05,0
peking547-b50000-transactional-t8,B,6,0,4734093784330072220,50000,13,13,11,10,10,4,1,975,927,111.81559753417969,14.4565,53.875799999999998,30.2712,4.2040999999999995,5.0785999999999998
peking547-b50000-transactional-t8,B,7,0,12965885051517280896,49998,20,20,15,15,15,6,0,1461,1397,181.39950561523438,15.2035,135.6849,16.412599999999998,4.8361999999999998,5.5983999999999998
peking547-b50000-transactional-t8,B,8,0,10984907524584507875,49999,30,30,24,23,23,8,1,2436,2339,144.90859985351562,15.743299999999998,95.722199999999987,17.007100000000001,8.5576000000000008,4.7917000000000005
peking547-b50000-transactional-t8,B,9,0,17682959795489002766,49999,47,47,35,35,35,16,0,3176,2946,102.64140319824219,15.063699999999999,47.849500000000006,17.758400000000002,11.439500000000001,6.4729999999999999
peking547-b50000-transactional-t8,B,10,0,8992825193713718238,49999,59,59,43,43,43,20,0,3967,3498,130.5509033203125,15.272499999999999,61.366700000000002,18.370200000000001,23.805599999999998,7.218
peking547-b50000-transactional-t8,B,11,0,14335798866383347301,49999,117,117,94,94,94,34,0,11099,9254,234.15789794921875,15.0421,74.5501,26.446000000000002,100.0213,10.710000000000001
peking547-b50000-transactional-t8,B,12,0,6101656200944087347,50000,194,160,113,112,112,41,1,13227,10032,294.622314453125,15.3423,96.737000000000009,29.151,133.7055,11.0686
peking547-b50000-transactional-t8,B,13,0,53286542649468526,50000,279,160,116,116,116,42,0,14411,11426,373.73001098632812,13.9665,96.481700000000004,38.6233,201.6403,11.615500000000001
peking547-b50000-transactional-t8,B,14,0,17662761484254605583,49999,217,160,103,103,103,34,0,11635,9835,246.79510498046875,17.069600000000001,94.845200000000006,27.084600000000002,89.779300000000006,9.3381000000000007
peking547-b50000-transactional-t8,B,15,0,12281327372140033769,49999,176,160,88,88,88,37,0,8863,7193,280.10760498046875,18.306800000000003,117.84310000000001,25.571300000000001,91.583300000000008,15.370800000000001
peking547-b50000-transactional-t8,B,16,0,12281327372140033769,49999,0,0,0,0,0,0,0,0,0,17.943199157714844,17.883500000000002,0,0,0.00019999999999999998,0
peking547-b50000-transactional-t8,B,17,0,12281327372140033769,49999,0,0,0,0,0,0,0,0,0,0.037999998778104782,0,0,0,9.9999999999999991e-05,0
peking547-b50000-transactional-t8,B,18,0,12281327372140033769,49999,0,0,0,0,0,0,0,0,0,0.029899999499320984,0,0,0,9.9999999999999991e-05,0
peking547-b50000-transactional-t8,B,19,0,12281327372140033769,49999,0,0,0,0,0,0,0,0,0,0.0348999984562397,0,0,0,0.00019999999999999998,0
peking547-b50000-transactional-t8,B,20,0,12281327372140033769,49999,0,0,0,0,0,0,0,0,0,0.036200001835823059,0,0,0,9.9999999999999991e-05,0
peking547-b50000-transactional-t8,B,21,0,12281327372140033769,49999,0,0,0,0,0,0,0,0,0,0.03060000017285347,0,0,0,0.00019999999999999998,0
peking547-b50000-transactional-t8,B,22,0,12281327372140033769,49999,0,0,0,0,0,0,0,0,0,0.031300000846385956,0,0,0,0.00029999999999999997,0
peking547-b50000-transactional-t8,B,23,0,12281327372140033769,49999,0,0,0,0,0,0,0,0,0,0.032099999487400055,0,0,0,0,0
