run,case,warmCpuMs,warmP95Ms,warmMaxMs,coldMs,initialFaces,finalFaces,minFaces,maxFaces,meanUploadMs,raw,examined,receivers,need,feasible,exchanges,free,pairs,conflicts,donorReuse,touches,evaluations,vertexWrites,indexWrites,flipExecuted
r3-peking547-b100000-transactional-t8,peking547-b100000-transactional-t8,70.03989505767822,267.3872985839844,305.943603515625,2366.238525390625,99999.0,99999.0,99999.0,99999.0,0.14605238226552805,2304963.0,7680.0,412.0,412.0,412.0,173.0,0.0,79672.0,69987.0,5327.0,429077.0,26937776.0,303291.0,306477.0,1
r1-peking547-b200000-classic-t1,peking547-b200000-classic-t1,298.8857861473447,454.5274963378906,728.2604370117188,934.3117065429688,200000.0,200000.0,200000.0,200000.0,6.369114254468253,,,,,,,,,,,,,,,0
r2-peking547-b200000-classic-t1,peking547-b200000-classic-t1,472.6805935814267,711.5430908203125,1169.290771484375,1042.296142578125,200000.0,200000.0,200000.0,200000.0,6.562633316232158,,,,,,,,,,,,,,,0
r3-peking547-b200000-classic-t1,peking547-b200000-classic-t1,381.0220474969773,562.8869018554688,976.4229736328125,867.4218139648438,200000.0,200000.0,200000.0,200000.0,7.545133268748898,,,,,,,,,,,,,,,0
r1-peking547-b200000-dod-t8,peking547-b200000-dod-t8,201.92359670003256,363.101318359375,398.0599060058594,573.82080078125,200000.0,200000.0,199999.0,200000.0,7.392585665941061,,,,,,,,,,,,,,,0
r2-peking547-b200000-dod-t8,peking547-b200000-dod-t8,247.8760757446289,429.6481018066406,562.6047973632812,671.141357421875,200000.0,200000.0,199999.0,200000.0,9.230557202538918,,,,,,,,,,,,,,,0
r3-peking547-b200000-dod-t8,peking547-b200000-dod-t8,215.0236676534017,333.2366027832031,491.7073974609375,520.6005859375,200000.0,200000.0,199999.0,200000.0,7.424880977365232,,,,,,,,,,,,,,,0
r1-peking547-b200000-transactional-t8,peking547-b200000-transactional-t8,677.4121667771112,4235.64111328125,4889.19921875,4917.8291015625,200000.0,200000.0,200000.0,200000.0,0.19437619192259653,4368289.0,15360.0,1114.0,1114.0,1114.0,522.0,0.0,412142.0,355191.0,48240.0,786401.0,26983753.0,609588.0,618948.0,1
r2-peking547-b200000-transactional-t8,peking547-b200000-transactional-t8,535.3615171341669,3344.563720703125,3800.6181640625,3859.997802734375,200000.0,200000.0,200000.0,200000.0,0.2519619028483118,4368289.0,15360.0,1114.0,1114.0,1114.0,522.0,0.0,412142.0,355191.0,48240.0,786401.0,26983753.0,609588.0,618948.0,1
r3-peking547-b200000-transactional-t8,peking547-b200000-transactional-t8,622.9110735938663,3959.003173828125,4475.458984375,4235.42529296875,200000.0,200000.0,200000.0,200000.0,0.2546428582143216,4368289.0,15360.0,1114.0,1114.0,1114.0,522.0,0.0,412142.0,355191.0,48240.0,786401.0,26983753.0,609588.0,618948.0,1
r1-generated-ridge-b50000-classic-t1,generated-ridge-b50000-classic-t1,2.028212902366474,2.7762999534606934,4.061399936676025,116.27790069580078,5443.0,8264.0,5443.0,8458.0,0.1210419348971818,,,,,,,,,,,,,,,0
r2-generated-ridge-b50000-classic-t1,generated-ridge-b50000-classic-t1,1.7471655850769372,1.9413000345230103,3.2079999446868896,110.37030029296875,5443.0,8264.0,5443.0,8458.0,0.10008172009901334,,,,,,,,,,,,,,,0
r3-generated-ridge-b50000-classic-t1,generated-ridge-b50000-classic-t1,2.3826000100822857,3.4707000255584717,4.122600078582764,110.59339904785156,5443.0,8264.0,5443.0,8458.0,0.12975806442479934,,,,,,,,,,,,,,,0
r1-generated-ridge-b50000-dod-t8,generated-ridge-b50000-dod-t8,1.1962419350941975,1.582900047302246,2.2465999126434326,111.16830444335938,5443.0,8264.0,5443.0,8458.0,0.11603225845723383,,,,,,,,,,,,,,,0
r2-generated-ridge-b50000-dod-t8,generated-ridge-b50000-dod-t8,1.2579924739817137,1.565999984741211,1.7559000253677368,110.48910522460938,5443.0,8264.0,5443.0,8458.0,0.13026989231346756,,,,,,,,,,,,,,,0
r3-generated-ridge-b50000-dod-t8,generated-ridge-b50000-dod-t8,1.1228537617191192,1.3674999475479126,1.592900037765503,107.54740142822266,5443.0,8264.0,5443.0,8458.0,0.12317204329195203,,,,,,,,,,,,,,,0
r1-generated-ridge-b50000-transactional-t8,generated-ridge-b50000-transactional-t8,38.60585495733446,50.65250015258789,61.59870147705078,1067.05322265625,5443.0,5747.0,5443.0,5747.0,0.325686020756601,65913.0,14548.0,246.0,0.0,0.0,0.0,152.0,0.0,94.0,0.0,2797340.0,151364864.0,18141.0,19020.0,0
r2-generated-ridge-b50000-transactional-t8,generated-ridge-b50000-transactional-t8,37.148312014918176,50.52080154418945,61.28269958496094,1014.0582885742188,5443.0,5747.0,5443.0,5747.0,0.23762687988659387,65913.0,14548.0,246.0,0.0,0.0,0.0,152.0,0.0,94.0,0.0,2797340.0,151364864.0,18141.0,19020.0,0
r3-generated-ridge-b50000-transactional-t8,generated-ridge-b50000-transactional-t8,38.306694584508094,53.81050109863281,65.64720153808594,1045.1728515625,5443.0,5747.0,5443.0,5747.0,0.2947483871492647,65913.0,14548.0,246.0,0.0,0.0,0.0,152.0,0.0,94.0,0.0,2797340.0,151364864.0,18141.0,19020.0,0
r1-dem-canyon-b50000-classic-t1,dem-canyon-b50000-classic-t1,25.478496602786485,51.517398834228516,58.17729949951172,278.8417053222656,50000.0,50000.0,13017.0,50000.0,0.42458602303754217,,,,,,,,,,,,,,,0
r2-dem-canyon-b50000-classic-t1,dem-canyon-b50000-classic-t1,41.63018481962143,62.92219924926758,71.6376953125,302.38690185546875,50000.0,50000.0,13017.0,50000.0,0.5550225834657628,,,,,,,,,,,,,,,0
r3-dem-canyon-b50000-classic-t1,dem-canyon-b50000-classic-t1,24.275320406882994,43.66600036621094,67.14689636230469,242.52220153808594,50000.0,50000.0,13017.0,50000.0,0.3914473126654924,,,,,,,,,,,,,,,0
r1-dem-canyon-b50000-dod-t8,dem-canyon-b50000-dod-t8,9.696649474482383,17.46430015563965,19.91860008239746,190.4348907470703,50000.0,50000.0,13017.0,50000.0,0.376524731331575,,,,,,,,,,,,,,,0
r2-dem-canyon-b50000-dod-t8,dem-canyon-b50000-dod-t8,18.4019355158652,31.738800048828125,51.72629928588867,193.7310028076172,50000.0,50000.0,13017.0,50000.0,0.47397956914288464,,,,,,,,,,,,,,,0
r3-dem-canyon-b50000-dod-t8,dem-canyon-b50000-dod-t8,11.497259157960134,20.530000686645508,38.90639877319336,201.0124053955078,50000.0,50000.0,13017.0,50000.0,0.37558817307925435,,,,,,,,,,,,,,,0
r1-dem-canyon-b50000-transactional-t8,dem-canyon-b50000-transactional-t8,19.839934551587667,49.24359893798828,65.9844970703125,3913.575927734375,50000.0,50000.0,50000.0,50000.0,0.06761827974790527,390996.0,15360.0,165.0,165.0,163.0,77.0,0.0,15154.0,8843.0,491.0,508176.0,102431196.0,151713.0,153339.0,1
r2-dem-canyon-b50000-transactional-t8,dem-canyon-b50000-transactional-t8,17.242504263436924,43.13629913330078,56.118499755859375,3949.017333984375,50000.0,50000.0,50000.0,50000.0,0.1065645156207905,390996.0,15360.0,165.0,165.0,163.0,77.0,0.0,15154.0,8843.0,491.0,508176.0,102431196.0,151713.0,153339.0,1
r3-dem-canyon-b50000-transactional-t8,dem-canyon-b50000-transactional-t8,20.080626849205263,51.0984001159668,64.48069763183594,4082.072021484375,50000.0,50000.0,50000.0,50000.0,0.07712580654169282,390996.0,15360.0,165.0,165.0,163.0,77.0,0.0,15154.0,8843.0,491.0,508176.0,102431196.0,151713.0,153339.0,1
r1-dem-canyon-b50000-transactional-t1,dem-canyon-b50000-transactional-t1,97.68957101145098,212.15420532226562,237.20339965820312,4672.89208984375,50000.0,50000.0,50000.0,50000.0,0.12612042996671893,390996.0,15360.0,165.0,165.0,163.0,77.0,0.0,15154.0,8843.0,491.0,508176.0,102431196.0,151713.0,153339.0,1
r2-dem-canyon-b50000-transactional-t1,dem-canyon-b50000-transactional-t1,73.40765625943419,164.22329711914062,178.2205047607422,3694.890380859375,50000.0,50000.0,50000.0,50000.0,0.06372150536426292,390996.0,15360.0,165.0,165.0,163.0,77.0,0.0,15154.0,8843.0,491.0,508176.0,102431196.0,151713.0,153339.0,1
r3-dem-canyon-b50000-transactional-t1,dem-canyon-b50000-transactional-t1,83.22047730927827,173.58799743652344,196.8052978515625,3956.536865234375,50000.0,50000.0,50000.0,50000.0,0.08510107557058975,390996.0,15360.0,165.0,165.0,163.0,77.0,0.0,15154.0,8843.0,491.0,508176.0,102431196.0,151713.0,153339.0,1
r1-dem-sierra-b50000-classic-t1,dem-sierra-b50000-classic-t1,4.789264521291179,8.806500434875488,10.05720043182373,121.13500213623047,8792.0,15919.0,2622.0,15919.0,0.13018709692543232,,,,,,,,,,,,,,,0
r2-dem-sierra-b50000-classic-t1,dem-sierra-b50000-classic-t1,5.922291382025647,10.5826997756958,11.557000160217285,133.05799865722656,8792.0,15919.0,2622.0,15919.0,0.16893978487645145,,,,,,,,,,,,,,,0
r3-dem-sierra-b50000-classic-t1,dem-sierra-b50000-classic-t1,5.7516806324323015,12.191699981689453,24.028499603271484,129.18899536132812,8792.0,15919.0,2622.0,15919.0,0.16266344016372797,,,,,,,,,,,,,,,0
r1-dem-sierra-b50000-dod-t8,dem-sierra-b50000-dod-t8,1.6078752708691422,2.332900047302246,2.5201001167297363,110.07440185546875,8792.0,15919.0,2622.0,15919.0,0.12059032227105451,,,,,,,,,,,,,,,0
r2-dem-sierra-b50000-dod-t8,dem-sierra-b50000-dod-t8,2.381563446214122,4.084400177001953,4.864500045776367,116.5188980102539,8792.0,15919.0,2622.0,15919.0,0.17015806324116545,,,,,,,,,,,,,,,0
r3-dem-sierra-b50000-dod-t8,dem-sierra-b50000-dod-t8,1.7310849492267897,2.494800090789795,4.485799789428711,110.00260162353516,8792.0,15919.0,2622.0,15919.0,0.12481612917107796,,,,,,,,,,,,,,,0
r1-dem-sierra-b50000-transactional-t8,dem-sierra-b50000-transactional-t8,10.60076129564675,23.739500045776367,30.29800033569336,1338.5198974609375,8798.0,8976.0,8798.0,8976.0,0.15652257953119533,217269.0,15008.0,169.0,0.0,0.0,0.0,92.0,0.0,77.0,0.0,209971.0,102421927.0,27483.0,28014.0,2
r2-dem-sierra-b50000-transactional-t8,dem-sierra-b50000-transactional-t8,11.485817245257799,25.693099975585938,31.651199340820312,1422.5595703125,8798.0,8976.0,8798.0,8976.0,0.21684193765364027,217269.0,15008.0,169.0,0.0,0.0,0.0,92.0,0.0,77.0,0.0,209971.0,102421927.0,27483.0,28014.0,2
r3-dem-sierra-b50000-transactional-t8,dem-sierra-b50000-transactional-t8,11.041527940380957,23.251300811767578,30.064300537109375,1353.6842041015625,8798.0,8976.0,8798.0,8976.0,0.1648526890704068,217269.0,15008.0,169.0,0.0,0.0,0.0,92.0,0.0,77.0,0.0,209971.0,102421927.0,27483.0,28014.0,2
