scene,frame,event,warmup,cpuMs,receiverMs,donorMs,viewMs,exchanges,free,examined,receiver_stage,task_wall_sum_receiver_certification,task_wall_sum_pointwise_quality,task_wall_sum_proposal,pointwise_batch,fit_bound_failed,shape_infeasible,quality_samples,quality_exact_samples
dem-sierra,11,reveal,0,195.08700561523438,174.09369999999998,0,12.3834,0,9,160,0.1253716,0.09193690000000002,0.18295649999999997,0.011974299999999998,0.0008717,517,434,11969,909
dem-sierra,12,reveal,0,199.83419799804688,169.2526,0,13.195,0,15,160,0.1389129,0.11037730000000001,0.2981514,0.013210899999999996,0.0018286,452,436,17343,847
dem-sierra,13,reveal,0,158.84669494628906,138.2987,0,13.3864,0,8,160,0.1324957,0.13417459999999998,0.2022501,0.0168441,0.0011249,479,496,10853,539
dem-sierra,14,reveal,0,162.28070068359375,132.5582,0,19.801300000000001,0,8,160,0.1217286,0.12397550000000002,0.2235406,0.016556399999999995,0.0007479,445,523,11385,789
dem-sierra,15,reveal,0,203.03849792480469,147.62539999999998,0,42.264400000000002,0,13,160,0.1499975,0.1423258,0.323516,0.017143399999999996,0.0014374,417,487,17593,749
dem-sierra,16,reveal,0,220.875,184.94399999999999,0,13.3582,0,22,160,0.1700391,0.18659199999999998,0.5069979,0.018105499999999993,0.0025441,389,439,25340,1598
dem-sierra,17,reveal,0,263.60031127929688,227.97540000000001,0,19.051300000000001,0,15,160,0.2406687,0.168309,0.49881680000000006,0.019059,0.0021911,416,460,24426,1923
dem-sierra,18,reveal,0,192.84429931640625,164.4332,0,13.669600000000001,0,11,160,0.1597342,0.1426136,0.284611,0.0195481,0.0011398,432,514,14621,998
dem-sierra,19,reveal,0,147.96299743652344,126.1253,0,11.480700000000001,0,7,160,0.0997264,0.13218120000000003,0.2150513,0.0204288,0.001185,437,565,13158,616
dem-sierra,20,reveal,0,310.24310302734375,202.0873,0,30.555399999999999,0,13,160,0.2052129,0.17634479999999997,0.4033538,0.022076199999999997,0.0015828,425,506,23919,1076
dem-sierra,21,reveal,0,221.154296875,189.32329999999999,0,14.7515,0,17,160,0.1743069,0.15484350000000002,0.4349194,0.019738200000000004,0.0021308,375,497,23942,1460
dem-sierra,22,reveal,0,251.19329833984375,182.61420000000001,0,29.925699999999999,0,14,160,0.1635651,0.17054940000000002,0.3640609,0.020102699999999998,0.0017229,428,481,20579,1496
dem-sierra,23,reveal,0,273.1099853515625,236.8596,0,11.523399999999999,0,18,160,0.2161964,0.1805695,0.5215001,0.02136269999999999,0.0028097,410,468,30797,1677
dem-sierra,24,reveal,0,218.8883056640625,183.40790000000001,0,19.554100000000002,0,16,160,0.1831137,0.153028,0.4695737,0.021228,0.0021712,439,444,23754,1958
dem-sierra,25,reveal,0,404.03759765625,374.28899999999999,0,11.464,0,15,160,0.3200714,0.1686222,0.45816160000000006,0.022387199999999996,0.0026775,401,511,26917,1824
dem-sierra,26,reveal,0,266.58990478515625,176.4769,0,38.403700000000001,0,14,160,0.1683145,0.14038779999999998,0.41142710000000005,0.0225006,0.0020804,418,509,22922,1541
dem-sierra,27,reveal,0,373.85110473632812,347.05960000000005,0,11.403699999999999,0,15,160,0.310186,0.22592520000000002,0.5158981,0.023771299999999995,0.0031724,373,545,29979,1843
dem-sierra,28,reveal,0,411.3037109375,346.97000000000003,0,35.521599999999999,0,16,160,0.3287554,0.20794630000000003,0.6005132,0.022965999999999993,0.0034322,307,597,33352,2455
dem-sierra,29,reveal,0,297.55859375,256.01800000000003,0,11.5497,0,19,160,0.2584132,0.1660273,0.58654,0.0205447,0.0036715,314,535,33620,1617
dem-sierra,30,reveal,0,352.10989379882812,308.34650000000005,0,14.9648,0,19,160,0.2949233,0.1326462,0.5649466,0.021014699999999994,0.0043754,284,598,35813,1238
dem-sierra,31,reveal,0,244.3450927734375,217.37110000000001,0,10.525,0,16,160,0.2088665,0.12946419999999997,0.467554,0.021194599999999994,0.0025601,314,552,25335,1474
dem-sierra,32,return,0,131.84190368652344,116.31469999999999,0,9.9764999999999997,0,4,160,0.1041119,0.083164,0.11862859999999997,0.020680299999999995,0.0010707,323,716,8501,454
dem-sierra,33,return,0,53.985801696777344,39.006399999999999,0,12.694000000000001,0,2,160,0.0329992,0.08065870000000001,0.0387878,0.021111799999999997,0.0001253,336,735,1927,148
dem-sierra,34,return,0,92.529502868652344,81.686199999999999,0,10.6037,0,0,160,0.0780022,0.10002699999999999,0.051091000000000004,0.021643699999999995,0,374,699,2160,385
dem-sierra,35,return,0,128.48109436035156,112.751,0,12.401,0,2,160,0.1142104,0.15403120000000003,0.1717234,0.023383499999999995,0.0002678,312,733,8402,1195
dem-sierra,36,return,0,177.73989868164062,163.5718,0,12.177999999999999,0,1,160,0.1528049,0.17071089999999994,0.15628799999999998,0.02422,0.0002018,359,700,7254,1021
dem-sierra,37,return,0,43.078098297119141,31.462600000000002,0,10.722799999999999,0,1,160,0.0331249,0.10165420000000003,0.044735000000000004,0.022634099999999997,5.74e-05,421,657,2195,192
dem-sierra,38,return,0,107.63330078125,92.3155,0,12.698499999999999,0,3,160,0.0814328,0.1417272,0.1200842,0.0232549,0.0002126,438,616,5855,711
dem-sierra,39,return,0,73.050300598144531,60.098800000000004,0,11.461499999999999,0,1,160,0.0739952,0.11168380000000001,0.0636508,0.020584499999999995,9.14e-05,462,609,3315,289
dem-sierra,40,return,0,90.877799987792969,70.495100000000008,0,19.0093,0,1,160,0.0596059,0.13404050000000003,0.052137100000000006,0.022399199999999998,7.58e-05,420,652,2328,376
dem-sierra,41,return,0,113.21700286865234,84.541699999999992,0,22.950100000000003,0,6,160,0.0903976,0.14272230000000002,0.1286768,0.020341699999999997,0.0005073,412,617,4327,676
dem-sierra,42,return,0,71.097801208496094,55.997,0,12.042199999999999,0,4,160,0.0606179,0.13492629999999997,0.13115130000000003,0.020805299999999992,0.0005804,397,647,6897,525
dem-sierra,43,return,0,57.519699096679688,44.885799999999996,0,10.867900000000001,0,1,160,0.0521658,0.1461127,0.0861196,0.021991899999999998,8.51e-05,425,635,4880,390
dem-sierra,44,return,0,76.975303649902344,63.363699999999994,0,11.6713,0,1,160,0.0657232,0.11855409999999997,0.1019377,0.0190216,0.0001075,417,643,5164,436
dem-sierra,45,return,0,58.454299926757812,41.971300000000006,0,12.9899,0,1,160,0.0478032,0.12387920000000001,0.0871008,0.0197246,0.0001677,421,650,5299,333
dem-sierra,46,return,0,100.58149719238281,84.876499999999993,0,11.8309,0,4,160,0.1032746,0.1394915,0.17463050000000002,0.020018299999999996,0.0001859,419,617,8088,1005
dem-sierra,47,return,0,72.640998840332031,53.937899999999999,0,13.671900000000001,0,6,160,0.0668798,0.1429404,0.1270859,0.01830849999999999,0.0001932,391,634,5472,612
dem-sierra,48,return,0,59.158298492431641,43.084900000000005,0,12.1562,0,6,160,0.0520448,0.12450209999999999,0.10795070000000001,0.0179959,0.0004405,381,621,4394,499
dem-sierra,49,return,0,63.977901458740234,29.268800000000002,0,33.0107,0,2,160,0.0307989,0.10106499999999999,0.049986600000000006,0.016838499999999996,7.54e-05,391,661,1759,259
dem-sierra,50,return,0,43.400199890136719,27.5778,0,14.486600000000001,0,1,160,0.0290782,0.11143299999999998,0.0446485,0.017041099999999997,7.41e-05,432,627,1673,173
dem-sierra,51,return,0,49.340000152587891,34.219499999999996,0,13.9146,0,1,160,0.0355026,0.10881410000000001,0.039388,0.016094299999999995,6.58e-05,444,624,1231,201
dem-sierra,52,return,0,48.947799682617188,31.715100000000003,0,15.796100000000001,0,1,160,0.0302011,0.10858519999999999,0.0332468,0.0163156,8.37e-05,452,610,1242,157
dem-sierra,53,return,0,49.930801391601562,35.654699999999998,0,13.194700000000001,0,1,160,0.0337746,0.1057192,0.038837899999999995,0.014921099999999994,4.52e-05,525,537,1593,209
dem-sierra,54,return,0,41.130599975585938,28.5062,0,12.484399999999999,0,0,160,0.0285776,0.11108389999999997,0.023740200000000003,0.015570499999999998,0,537,530,738,144
dem-sierra,55,return,0,41.451301574707031,27.309900000000003,0,12.761800000000001,0,1,160,0.0271686,0.1043674,0.0389965,0.014838899999999999,9.8e-05,497,558,1674,202
dem-sierra,56,return,0,43.070098876953125,29.932099999999998,0,12.9262,0,0,160,0.0269814,0.10441740000000001,0.0254097,0.015497899999999997,0,497,567,805,160
dem-sierra,57,return,0,41.478099822998047,28.004899999999999,0,13.222,0,0,160,0.0248411,0.1023947,0.023627,0.014892299999999999,0,504,562,714,141
dem-sierra,58,return,0,41.507598876953125,28.021699999999999,0,13.270199999999999,0,0,160,0.0286994,0.09616559999999996,0.0237529,0.014015199999999998,0,526,540,714,141
dem-sierra,59,return,0,36.799301147460938,21.5319,0,15.094099999999999,0,0,160,0.0253874,0.09525589999999999,0.014114799999999999,0.014682699999999995,0,548,526,532,57
dem-sierra,60,return,0,56.356899261474609,33.345500000000001,0,20.551199999999998,0,2,160,0.0356103,0.0951368,0.043418200000000004,0.014614200000000003,0.0001264,559,495,2360,191
dem-sierra,61,return,0,60.812000274658203,43.6066,0,17.067700000000002,0,0,160,0.0397223,0.09306640000000001,0.0275068,0.014964500000000002,0,546,528,1037,172
dem-sierra,62,return,0,51.986198425292969,34.635199999999998,0,17.118299999999998,0,0,160,0.0303176,0.08392070000000001,0.0204255,0.014891799999999997,0,563,516,895,150
dem-sierra,63,return,0,32.901298522949219,17.233600000000003,0,15.5329,0,0,160,0.018444,0.08765909999999999,0.0050072,0.015138899999999995,0,611,490,224,16
dem-sierra,64,recovery,0,38.828701019287109,19.2103,0,19.426500000000001,0,0,160,0.0197039,0.0799229,0.0043305,0.015127099999999996,0,605,496,224,16
dem-sierra,65,recovery,0,24.002399444580078,23.8307,0,0,0,0,160,0.0200057,0.08654799999999999,0.0049960000000000004,0.015557599999999998,0,605,496,224,16
dem-sierra,66,recovery,0,19.92140007019043,19.535599999999999,0,0,0,0,160,0.0201296,0.0836953,0.004662,0.015536499999999993,0,605,496,224,16
dem-sierra,67,recovery,0,15.902099609375,15.755999999999998,0,0,0,0,160,0.0213261,0.0863036,0.0050249,0.0155757,0,605,496,224,16
dem-sierra,68,recovery,0,22.681499481201172,22.4894,0,0,0,0,160,0.020399,0.0848676,0.0050378,0.0152866,0,605,496,224,16
dem-sierra,69,recovery,0,18.086599349975586,17.866300000000003,0,0,0,0,160,0.0198732,0.0845733,0.0050594,0.015348199999999996,0,605,496,224,16
dem-sierra,70,recovery,0,17.507200241088867,17.328699999999998,0,0,0,0,160,0.0209588,0.08456059999999999,0.0056787999999999995,0.015209299999999993,0,605,496,224,16
dem-sierra,71,recovery,0,15.67650032043457,15.497800000000002,0,0,0,0,160,0.0207085,0.08631969999999999,0.0058139,0.0157203,0,605,496,224,16
dem-sierra,72,recovery,0,25.950599670410156,25.566300000000002,0,0,0,0,160,0.01977,0.08196490000000001,0.0058308000000000006,0.015614299999999996,0,605,496,224,16
dem-sierra,73,recovery,0,24.304300308227539,24.153700000000001,0,0,0,0,160,0.0208751,0.0829487,0.0054894,0.015388799999999998,0,605,496,224,16
dem-sierra,74,recovery,0,16.611799240112305,16.451599999999999,0,0,0,0,160,0.0211133,0.0874838,0.005623899999999999,0.016192099999999997,0,605,496,224,16
dem-sierra,75,recovery,0,18.126199722290039,17.976700000000001,0,0,0,0,160,0.0218592,0.0871075,0.0056766,0.016216499999999995,0,605,496,224,16
dem-sierra,76,recovery,0,21.593900680541992,21.3064,0,0,0,0,160,0.0216803,0.0843142,0.0052637,0.0157793,0,605,496,224,16
dem-sierra,77,recovery,0,18.272300720214844,18.072499999999998,0,0,0,0,160,0.0201985,0.0848437,0.0051495,0.015342699999999997,0,605,496,224,16
dem-sierra,78,recovery,0,20.432600021362305,20.2776,0,0,0,0,160,0.0206909,0.0820308,0.0051864,0.0157654,0,605,496,224,16
dem-sierra,79,recovery,0,29.29210090637207,28.918499999999998,0,0,0,0,160,0.0203698,0.07992350000000001,0.0049771,0.0158156,0,605,496,224,16
dem-sierra,80,recovery,0,16.755500793457031,16.587399999999999,0,0,0,0,160,0.0193757,0.074888,0.0044313,0.014715299999999997,0,605,496,224,16
dem-sierra,81,recovery,0,18.936300277709961,18.761300000000002,0,0,0,0,160,0.0213479,0.08235549999999998,0.0053476,0.016021299999999995,0,605,496,224,16
dem-sierra,82,recovery,0,22.009500503540039,21.773700000000002,0,0,0,0,160,0.0208807,0.08365799999999998,0.0059614,0.0163268,0,605,496,224,16
