frame,thread,records,boundsBuilds,exactBuilds,boundsSides,exactSides,boundsHeights,exactHeights
4,3,12,12,12,33535,673,3268,64
5,3,6,6,6,310,40,62,6
5,3,12,12,12,16638,538,1700,140
6,3,6,6,6,310,40,62,6
6,3,6,6,6,775,83,136,10
6,3,12,12,12,5958,271,348,32
7,3,6,5,4,60,12,14,6
7,3,6,6,4,111,18,28,8
7,3,4,3,3,72,16,22,8
7,3,20,20,19,2578,199,286,132
8,3,6,6,5,326,42,52,0
8,3,12,12,12,10354,438,900,124
9,3,12,12,12,6840,316,468,44
9,3,6,3,2,64,14,16,0
9,3,12,12,12,5128,288,452,8
9,3,12,12,12,13532,504,1668,4
10,3,6,3,3,170,28,52,0
10,3,6,3,3,170,28,52,0
10,3,12,12,12,13628,488,1668,36
11,3,6,6,6,310,40,62,6
11,3,6,6,3,67,11,10,2
11,3,6,5,4,60,12,14,6
11,3,12,12,12,13532,504,1668,84
11,3,6,6,6,360,50,78,2
11,3,12,12,12,13532,504,1668,40
12,3,6,6,3,67,11,10,2
12,3,12,12,12,6914,320,468,76
12,3,12,12,12,15691,465,1268,36
12,3,12,12,12,13532,504,1668,40
12,3,6,6,3,67,10,10,0
13,3,6,3,3,170,28,52,0
13,3,6,6,6,360,50,78,2
13,3,12,12,12,6914,320,468,96
13,3,12,12,12,11856,400,868,52
14,3,6,6,6,596,65,142,14
14,3,6,6,3,67,10,10,0
14,3,6,6,4,113,15,16,2
14,3,12,12,12,10484,434,868,36
14,3,12,12,12,10354,438,900,144
15,3,6,6,6,360,50,78,2
15,3,12,12,12,18830,559,1700,76
15,3,6,3,3,152,41,40,8
15,3,12,12,12,13532,504,1668,4
15,3,12,12,12,15691,465,1268,8
15,3,12,12,12,5128,288,452,36
16,3,6,6,6,596,65,142,14
16,3,6,5,4,53,12,12,2
16,3,12,12,12,18977,565,1700,132
16,3,6,3,3,57,15,16,2
16,3,12,12,12,16804,451,1268,40
16,3,12,12,12,7405,356,676,20
16,3,12,12,12,11856,400,868,44
16,3,6,3,2,64,14,16,0
16,3,6,6,6,12979,387,2402,108
17,3,6,6,6,360,50,78,2
17,3,6,6,6,310,40,62,6
17,3,12,12,12,9424,436,900,112
17,3,6,5,4,60,12,14,6
17,3,12,12,12,13532,504,1668,76
17,3,12,12,12,16804,451,1268,32
17,3,12,12,12,20032,594,2468,0
17,3,12,12,12,7152,332,468,68
18,3,6,6,6,596,65,142,14
18,3,12,12,12,4160,236,244,56
18,3,12,12,12,10780,414,868,132
18,3,12,12,12,4160,236,244,56
18,3,12,12,12,7357,348,660,44
19,3,6,6,5,306,42,42,12
19,3,6,6,6,803,69,172,12
19,3,6,5,4,60,12,14,6
19,3,6,6,6,947,91,196,4
19,3,6,6,6,287,49,54,4
19,3,6,6,6,678,78,130,14
20,3,6,6,4,111,18,28,8
20,3,6,3,3,57,15,16,2
20,3,6,6,6,596,65,142,14
20,3,6,6,6,678,78,130,14
20,3,12,12,12,10238,398,868,80
20,3,6,6,6,1905,151,440,26
20,3,12,12,12,13628,488,1668,80
20,3,12,12,12,8163,342,660,0
20,3,6,3,2,64,14,16,0
20,3,6,3,2,64,14,16,0
20,3,6,3,3,63,15,18,2
21,3,6,3,3,57,15,16,2
21,3,6,6,6,310,40,62,6
21,3,6,6,6,1905,151,440,26
21,3,6,6,6,1327,87,242,6
21,3,12,12,12,7405,356,676,28
21,3,12,12,12,13532,504,1668,28
