frame,phase,frameMs,dispatchMs,taskSumMs,taskMaxMs,tasks,threads,waitMs,afterLastTaskMs,balanceRatio
13,mesh_fill,26.336638,0.127344,0.00506,0.00225,8,1,0.00016,0.076004,0.28111111111111114
14,view_projection,27.895151,3.574683,23.691521,3.467435,8,8,3.437199,0.065322,0.85407228253738
14,view_scores,27.895151,2.7535,17.420647,2.642322,8,8,2.589096,0.046827,0.8241163927030846
14,receiver_stage,27.895151,16.089238,105.288875,15.927365,8,8,15.924654,0.071017,0.8263205731142597
14,face_fill,27.895151,0.128304,0.00147,0.00107,8,1,0.00013,0.085098,0.17172897196261683
14,mesh_fill,27.895151,0.121203,0.00515,0.00238,8,1,0.00013,0.080263,0.2704831932773109
15,view_projection,32.791384,3.490835,23.370171,3.302489,8,8,3.360491,0.065827,0.8845665723640563
15,view_scores,32.791384,3.46973,22.179374,3.315051,8,8,3.306995,0.049601,0.8363134533978511
15,receiver_stage,32.791384,16.663409,126.688817,16.486033,8,8,16.480465,0.105843,0.9605768789253304
15,face_fill,32.791384,0.129153,0.00177,0.00117,8,1,0.00022,0.085227,0.1891025641025641
15,mesh_fill,32.791384,0.139024,0.0092,0.00269,8,2,0.00012,0.078347,0.4275092936802974
16,view_projection,47.916161,3.874425,26.199005,3.711452,8,8,3.728972,0.068907,0.8823704644435655
16,view_scores,47.916161,3.528362,20.887927,3.400073,8,8,3.366007,0.069333,0.7679220049098946
16,receiver_stage,47.916161,25.700031,181.195481,25.50232,8,8,25.523645,0.096848,0.8881323395283253
16,face_fill,47.916161,0.140734,0.00233,0.00117,8,1,0.00012,0.078638,0.24893162393162394
16,mesh_fill,47.916161,0.143423,0.019771,0.00784,8,2,0.00034,0.075692,0.3152264030612245
17,view_projection,48.285957,3.399998,23.52091,3.211108,8,8,3.245263,0.091018,0.9156072452250127
17,view_scores,48.285957,2.861603,18.684509,2.706513,8,8,2.688948,0.048362,0.8629419570495319
17,receiver_stage,48.285957,31.790127,174.607141,31.520314,8,8,31.567982,0.152815,0.6924389339839699
17,face_fill,48.285957,0.135723,0.0025,0.00174,8,1,0.00038,0.077833,0.17959770114942528
17,mesh_fill,48.285957,0.131884,0.0094,0.00437,8,1,0.00013,0.077238,0.26887871853546913
