case,system,event,metric,statistic,beforeMs,afterMs,deltaMs,relative
dem-canyon-P,windows,return,uploadMs,max,0.010499999858438969,0.01269999984651804,0.002199999988079071,0.20952381121328356
dem-canyon-P,windows,reveal,cpuMs,mean,88.0401823109594,60.37255885683257,-27.667623454126826,-0.31426131486648123
dem-canyon-P,windows,reveal,cpuMs,median,88.64409637451172,60.557899475097656,-28.086196899414062,-0.3168422720533234
dem-canyon-P,windows,reveal,cpuMs,p95,123.87332153320311,74.05880126953123,-49.81452026367188,-0.4021408294143429
dem-canyon-P,windows,reveal,cpuMs,max,138.7198944091797,79.2490005493164,-59.47089385986328,-0.42871207560498137
dem-canyon-P,windows,reveal,viewMs,mean,14.453713793103448,15.727241379310344,1.273527586206896,0.08811075163357374
dem-canyon-P,windows,reveal,viewMs,median,14.788499999999999,15.670900000000001,0.8824000000000023,0.059667985258816225
dem-canyon-P,windows,reveal,viewMs,p95,16.5562,18.789619999999996,2.2334199999999953,0.13489931264420552
dem-canyon-P,windows,reveal,viewMs,max,17.1783,24.3251,7.146799999999999,0.41603651117980234
dem-canyon-P,windows,reveal,receiverMs,mean,58.852044827586205,29.896896551724137,-28.95514827586207,-0.49199901822765013
dem-canyon-P,windows,reveal,receiverMs,median,58.781,29.9974,-28.7836,-0.4896752351950461
dem-canyon-P,windows,reveal,receiverMs,p95,81.41158,35.03268,-46.3789,-0.5696843127230795
dem-canyon-P,windows,reveal,receiverMs,max,103.45020000000001,35.22,-68.23020000000001,-0.6595463324382167
dem-canyon-P,windows,reveal,donorMs,mean,11.342913793103449,11.526879310344828,0.18396551724137922,0.016218541425681243
dem-canyon-P,windows,reveal,donorMs,median,10.6174,10.8552,0.2378,0.02239719705389276
dem-canyon-P,windows,reveal,donorMs,p95,17.80433999999999,18.263259999999995,0.4589200000000062,0.025775737825721512
dem-canyon-P,windows,reveal,donorMs,max,20.4761,21.360500000000002,0.884400000000003,0.04319181875454814
dem-canyon-P,windows,reveal,reservationMs,mean,0.35871379310344825,0.3507413793103448,-0.007972413793103428,-0.02222499927903332
dem-canyon-P,windows,reveal,reservationMs,median,0.3154,0.2973,-0.018100000000000005,-0.05738744451490174
dem-canyon-P,windows,reveal,reservationMs,p95,0.74042,0.7604399999999997,0.020019999999999705,0.027038707760459912
dem-canyon-P,windows,reveal,reservationMs,max,0.7749,0.8207000000000001,0.04580000000000006,0.059104400567815185
dem-canyon-P,windows,reveal,sampleRepairMs,mean,1.8485068965517242,1.830051724137931,-0.01845517241379313,-0.009983826648534588
dem-canyon-P,windows,reveal,sampleRepairMs,median,1.4285,1.3198999999999999,-0.10860000000000025,-0.07602380119005969
dem-canyon-P,windows,reveal,sampleRepairMs,p95,5.2235,4.59882,-0.6246799999999997,-0.11959031300851919
dem-canyon-P,windows,reveal,sampleRepairMs,max,5.9604,7.0587,1.0983,0.18426615663378287
dem-canyon-P,windows,reveal,uploadMs,mean,0.08800344883689079,0.12100689951330423,0.03300345067641344,0.37502451452310015
dem-canyon-P,windows,reveal,uploadMs,median,0.009200000204145908,0.012400000356137753,0.003200000151991844,0.3478260957591923
dem-canyon-P,windows,reveal,uploadMs,p95,0.5987400010228137,0.8404000341892214,0.24166003316640772,0.40361431130972614
dem-canyon-P,windows,reveal,uploadMs,max,1.2587000131607056,1.801900029182434,0.5432000160217285,0.4315563758974674
