case,system,event,metric,statistic,beforeMs,afterMs,deltaMs,relative
dem-canyon-P,windows,recovery,cpuMs,median,0.17809999734163284,0.23194999992847443,0.05385000258684158,0.30235824475362616
dem-canyon-P,windows,recovery,cpuMs,p95,3.5650800585746714,3.512299980223174,-0.05278007835149756,-0.014804738598941602
dem-canyon-P,windows,recovery,cpuMs,max,43.35969924926758,39.58430099487305,-3.7753982543945312,-0.0870715968920911
dem-canyon-P,windows,recovery,viewMs,mean,0.54534375,0.5566218749999999,0.011278124999999917,0.020680763280041203
dem-canyon-P,windows,recovery,viewMs,median,0.0,0.0,0.0,
dem-canyon-P,windows,recovery,viewMs,p95,0.0,0.0,0.0,
dem-canyon-P,windows,recovery,viewMs,max,17.451,17.811899999999998,0.36089999999999733,0.020680763280041203
dem-canyon-P,windows,recovery,receiverMs,mean,0.5526031250000001,0.4531125,-0.09949062500000011,-0.1800399246746932
dem-canyon-P,windows,recovery,receiverMs,median,0.0,0.0,0.0,
dem-canyon-P,windows,recovery,receiverMs,p95,3.2001299999999953,3.2006249999999947,0.0004949999999994681,0.0001546812160755362
dem-canyon-P,windows,recovery,receiverMs,max,10.571900000000001,7.387099999999999,-3.184800000000002,-0.3012514306794428
dem-canyon-P,windows,recovery,donorMs,mean,0.364146875,0.36305624999999997,-0.0010906250000000117,-0.002995014031082932
dem-canyon-P,windows,recovery,donorMs,median,0.0,0.0,0.0,
dem-canyon-P,windows,recovery,donorMs,p95,0.0,0.0,0.0,
dem-canyon-P,windows,recovery,donorMs,max,11.6527,11.617799999999999,-0.034900000000000375,-0.002995014031082932
dem-canyon-P,windows,recovery,reservationMs,mean,0.002734375,0.003375,0.0006406250000000001,0.23428571428571443
dem-canyon-P,windows,recovery,reservationMs,median,0.0,0.0,0.0,
dem-canyon-P,windows,recovery,reservationMs,p95,0.00022499999999999964,4.499999999999993e-05,-0.0001799999999999997,-0.8
dem-canyon-P,windows,recovery,reservationMs,max,0.087,0.1079,0.020900000000000002,0.24022988505747134
dem-canyon-P,windows,recovery,sampleRepairMs,mean,0.08386875,0.05890625,-0.024962500000000006,-0.2976376779193681
