scene,frame,visible,Dmax,P0Faces,P0screenMax,P0heightMax,P0terrainSampleRms,P0ErrorP95,P0AboveTargetCount,PSFaces,PSscreenMax,PSheightMax,PSterrainSampleRms,PSErrorP95,PSAboveTargetCount,ExcessAbove0.1Count,ImprovementAbove0.1Count,ExcessAbove0.25Count,ImprovementAbove0.25Count,ExcessAbove0.5Count,ImprovementAbove0.5Count
dem-sierra,2,1499708,0.35203647295662605,8982.0,1.5864080125804836,0.37772312545254305,0.25719423632738425,0.5216555241027854,90364,9198.0,1.606064938405064,0.37772312545254305,0.24824015532206317,0.5042615634136557,77968,799,29265,7,15309,0,5128
dem-sierra,16,1114418,0.30267388247840693,9196.0,1.9984388608783583,0.37772312545254305,0.28971673032953416,0.5930969410059209,105103,9952.0,1.9984388608783583,0.37772312545254305,0.269098607271787,0.5510202404140955,82827,1237,48599,9,26247,0,9095
dem-sierra,48,1155480,0.30332136936000187,9734.0,1.9959503453532907,0.37772312545254305,0.2872518356823005,0.5866898384560241,105951,11438.0,1.9959503453532907,0.37772312545254305,0.23374166387321565,0.48215073508378764,49922,3828,164352,15,78413,0,16849
dem-sierra,95,1503180,0.36738933904250837,9752.0,1.123568325551336,0.37772312545254305,0.2541196350828355,0.5154748475612142,86234,11644.0,1.109674747716116,0.37772312545254305,0.2077287103066957,0.4206391047467424,30024,4156,190601,31,86189,0,13970
dem-canyon,2,1452205,1.0786215683310496,49999.0,4.676490473244989,1.165875234581235,0.3028530108667567,0.6359063053431673,154132,50000.0,4.676490473244989,1.165875234581235,0.3021351294168535,0.6352414089356192,153824,11,542,2,384,2,306
dem-canyon,16,1075039,0.2935664477913793,49999.0,9.264114761440286,1.165875234581235,0.4842365052552632,0.7614218407030203,157082,50000.0,9.264114761440286,1.165875234581235,0.4646306475423997,0.7543808112738828,155460,26,4643,3,3636,0,2623
dem-canyon,48,1114577,0.29361089231195636,49999.0,9.274476736648769,1.165875234581235,0.4796371514848047,0.757060789832674,161048,50000.0,9.274476736648769,1.165875234581235,0.46024574385580386,0.7492290164362098,159259,30,4873,3,3825,0,2796
dem-canyon,95,1456877,2.017418523474729,50000.0,2.3381912499751776,1.165875234581235,0.2989337988037165,0.6313730279218703,152232,50000.0,2.0477414506299105,1.165875234581235,0.29813965031427364,0.6302647247611737,151716,22,576,7,526,7,514
