frame,root,ordinal,kind,capture,path,oldReason,oldFitHeight,sampleCount,sourceHeight,unchangedBoundaryControl,status,domain0_accepted,domain0_visible,domain0_deltaLower,domain0_deltaUpper,domain0_oldMaxSquared,domain0_newMaxSquared,domain0_screenViolations,domain0_heightViolations,domain1_accepted,domain1_visible,domain1_deltaLower,domain1_deltaUpper,domain1_oldMaxSquared,domain1_newMaxSquared,domain1_screenViolations,domain1_heightViolations
95,-269,0,E,dem-sierra-b50000-transactional-t8-capture,benchmark-output/cpu-refinement/qpc-04g/run-01/dem-sierra-b50000-transactional-t8-capture/proposal-95--269-0.json,fit_bound_failed,5.394480729304996,61,5.491086063165272,,accepted,True,61,727458511320000213951706801756739208819/170141183460469231731687303715884105728,1454917022640000427903413603513478417657/340282366920938463463374607431768211456,910428045293902092174319196130021938379441223106493047693926885920440198156517376/721185366439911073891088670777097513579592692446706427520092533427363451771643609,910428045293902092174319196130021938379441223106493047693926885920440198156517376/721185366439911073891088670777097513579592692446706427520092533427363451771643609,0,0,True,61,1454917797223985280300405456743867576703/340282366920938463463374607431768211456,727458898611992640150202728371933788361/170141183460469231731687303715884105728,12634734605918922767447259736024864712228335849694183556499111936/10008457489855540656079785391200346589150443011546514214424958929,12634734605918922767447259736024864712228335849694183556499111936/10008457489855540656079785391200346589150443011546514214424958929,0,0
95,-269,1,E,dem-sierra-b50000-transactional-t8-capture,benchmark-output/cpu-refinement/qpc-04g/run-01/dem-sierra-b50000-transactional-t8-capture/proposal-95--269-1.json,fit_bound_failed,5.473826194011417,65,5.560840310582564,,accepted,True,65,643982351697071632204388347802017871371/170141183460469231731687303715884105728,160995587924267908051097086950504467845/42535295865117307932921825928971026432,910428045293902092174319196130021938379441223106493047693926885920440198156517376/721185366439911073891088670777097513579592692446706427520092533427363451771643609,910428045293902092174319196130021938379441223106493047693926885920440198156517376/721185366439911073891088670777097513579592692446706427520092533427363451771643609,0,0,True,65,643982212085213696845525648480377260391/170141183460469231731687303715884105728,40248888255325856052845353030023578775/10633823966279326983230456482242756608,12634734605918922767447259736024864712228335849694183556499111936/10008457489855540656079785391200346589150443011546514214424958929,12634734605918922767447259736024864712228335849694183556499111936/10008457489855540656079785391200346589150443011546514214424958929,0,0
95,-269,2,E,dem-sierra-b50000-transactional-t8-capture,benchmark-output/cpu-refinement/qpc-04g/run-01/dem-sierra-b50000-transactional-t8-capture/proposal-95--269-2.json,fit_bound_failed,5.4678614139556885,87,5.484903300326012,,quality_rejected,False,87,39613504726709378607559375785939973653/170141183460469231731687303715884105728,79227009453418757215118751571879947311/340282366920938463463374607431768211456,910428045293902092174319196130021938379441223106493047693926885920440198156517376/721185366439911073891088670777097513579592692446706427520092533427363451771643609,910428045293902092174319196130021938379441223106493047693926885920440198156517376/721185366439911073891088670777097513579592692446706427520092533427363451771643609,0,2,False,87,39613594791592413522582077118794254509/170141183460469231731687303715884105728,79227189583184827045164154237588509023/340282366920938463463374607431768211456,12634734605918922767447259736024864712228335849694183556499111936/10008457489855540656079785391200346589150443011546514214424958929,12634734605918922767447259736024864712228335849694183556499111936/10008457489855540656079785391200346589150443011546514214424958929,0,2
95,-269,3,F,dem-sierra-b50000-transactional-t8-capture,benchmark-output/cpu-refinement/qpc-04g/run-01/dem-sierra-b50000-transactional-t8-capture/proposal-95--269-3.json,fit_bound_failed,5.4453894457573675,35,5.51819510022972,,accepted,True,35,362835792437917624480543050834001286205/340282366920938463463374607431768211456,181417896218958812240271525417000643105/170141183460469231731687303715884105728,910428045293902092174319196130021938379441223106493047693926885920440198156517376/721185366439911073891088670777097513579592692446706427520092533427363451771643609,910428045293902092174319196130021938379441223106493047693926885920440198156517376/721185366439911073891088670777097513579592692446706427520092533427363451771643609,0,0,True,35,362837652698889679800690970025770905637/340282366920938463463374607431768211456,181418826349444839900345485012885452821/170141183460469231731687303715884105728,12634734605918922767447259736024864712228335849694183556499111936/10008457489855540656079785391200346589150443011546514214424958929,12634734605918922767447259736024864712228335849694183556499111936/10008457489855540656079785391200346589150443011546514214424958929,0,0
95,-269,4,H,dem-sierra-b50000-transactional-t8-capture,benchmark-output/cpu-refinement/qpc-04g/run-01/dem-sierra-b50000-transactional-t8-capture/proposal-95--269-4.json,fit_bound_failed,5.4453894457573675,113,5.51819510022972,,accepted,True,113,362835792437917624480543050834001286205/340282366920938463463374607431768211456,181417896218958812240271525417000643105/170141183460469231731687303715884105728,910428045293902092174319196130021938379441223106493047693926885920440198156517376/721185366439911073891088670777097513579592692446706427520092533427363451771643609,910428045293902092174319196130021938379441223106493047693926885920440198156517376/721185366439911073891088670777097513579592692446706427520092533427363451771643609,0,0,True,113,362837652698889679800690970025770905637/340282366920938463463374607431768211456,181418826349444839900345485012885452821/170141183460469231731687303715884105728,12634734605918922767447259736024864712228335849694183556499111936/10008457489855540656079785391200346589150443011546514214424958929,12634734605918922767447259736024864712228335849694183556499111936/10008457489855540656079785391200346589150443011546514214424958929,0,0
95,-269,5,H,dem-sierra-b50000-transactional-t8-capture,benchmark-output/cpu-refinement/qpc-04g/run-01/dem-sierra-b50000-transactional-t8-capture/proposal-95--269-5.json,fit_bound_failed,5.4453894457573675,313,5.51819510022972,,accepted,True,313,362835792437917624480543050834001286205/340282366920938463463374607431768211456,181417896218958812240271525417000643105/170141183460469231731687303715884105728,910428045293902092174319196130021938379441223106493047693926885920440198156517376/721185366439911073891088670777097513579592692446706427520092533427363451771643609,910428045293902092174319196130021938379441223106493047693926885920440198156517376/721185366439911073891088670777097513579592692446706427520092533427363451771643609,0,0,True,313,362837652698889679800690970025770905637/340282366920938463463374607431768211456,181418826349444839900345485012885452821/170141183460469231731687303715884105728,12634734605918922767447259736024864712228335849694183556499111936/10008457489855540656079785391200346589150443011546514214424958929,12634734605918922767447259736024864712228335849694183556499111936/10008457489855540656079785391200346589150443011546514214424958929,0,0
95,-269,6,H,dem-sierra-b50000-transactional-t8-capture,benchmark-output/cpu-refinement/qpc-04g/run-01/dem-sierra-b50000-transactional-t8-capture/proposal-95--269-6.json,fit_bound_failed,5.4453894457573675,217,5.51819510022972,,accepted,True,217,362835792437917624480543050834001286205/340282366920938463463374607431768211456,181417896218958812240271525417000643105/170141183460469231731687303715884105728,910428045293902092174319196130021938379441223106493047693926885920440198156517376/721185366439911073891088670777097513579592692446706427520092533427363451771643609,910428045293902092174319196130021938379441223106493047693926885920440198156517376/721185366439911073891088670777097513579592692446706427520092533427363451771643609,0,0,True,217,362837652698889679800690970025770905637/340282366920938463463374607431768211456,181418826349444839900345485012885452821/170141183460469231731687303715884105728,12634734605918922767447259736024864712228335849694183556499111936/10008457489855540656079785391200346589150443011546514214424958929,12634734605918922767447259736024864712228335849694183556499111936/10008457489855540656079785391200346589150443011546514214424958929,0,0
95,-270,0,E,dem-sierra-b50000-transactional-t8-capture,benchmark-output/cpu-refinement/qpc-04g/run-01/dem-sierra-b50000-transactional-t8-capture/proposal-95--270-0.json,fit_bound_failed,5.404943490230289,61,5.5101099488245335,,accepted,True,61,1995297968935811566054307011684559957527/340282366920938463463374607431768211456,124706123058488222878394188230284997347/21267647932558653966460912964485513216,910428045293902092174319196130021938379441223106493047693926885920440198156517376/721185366439911073891088670777097513579592692446706427520092533427363451771643609,910428045293902092174319196130021938379441223106493047693926885920440198156517376/721185366439911073891088670777097513579592692446706427520092533427363451771643609,0,0,True,61,249412365868308517809715517519656208185/42535295865117307932921825928971026432,1995298926946468142477724140157249665505/340282366920938463463374607431768211456,12634734605918922767447259736024864712228335849694183556499111936/10008457489855540656079785391200346589150443011546514214424958929,12634734605918922767447259736024864712228335849694183556499111936/10008457489855540656079785391200346589150443011546514214424958929,0,0
95,-270,1,E,dem-sierra-b50000-transactional-t8-capture,benchmark-output/cpu-refinement/qpc-04g/run-01/dem-sierra-b50000-transactional-t8-capture/proposal-95--270-1.json,fit_bound_failed,5.426662469112125,65,5.524060798307992,,accepted,True,65,817818755822378671109310086846492355965/170141183460469231731687303715884105728,102227344477797333888663760855811544497/21267647932558653966460912964485513216,910428045293902092174319196130021938379441223106493047693926885920440198156517376/721185366439911073891088670777097513579592692446706427520092533427363451771643609,910428045293902092174319196130021938379441223106493047693926885920440198156517376/721185366439911073891088670777097513579592692446706427520092533427363451771643609,0,0,True,65,817819047878714373099682937587188320153/170141183460469231731687303715884105728,204454761969678593274920734396797080041/42535295865117307932921825928971026432,12634734605918922767447259736024864712228335849694183556499111936/10008457489855540656079785391200346589150443011546514214424958929,12634734605918922767447259736024864712228335849694183556499111936/10008457489855540656079785391200346589150443011546514214424958929,0,0
95,-270,2,E,dem-sierra-b50000-transactional-t8-capture,benchmark-output/cpu-refinement/qpc-04g/run-01/dem-sierra-b50000-transactional-t8-capture/proposal-95--270-2.json,fit_bound_failed,5.4311604499816895,87,5.4790376022477405,,accepted,True,87,362164034095499785681376290538544020069/340282366920938463463374607431768211456,362164034095499785681376290538544020079/340282366920938463463374607431768211456,910428045293902092174319196130021938379441223106493047693926885920440198156517376/721185366439911073891088670777097513579592692446706427520092533427363451771643609,910428045293902092174319196130021938379441223106493047693926885920440198156517376/721185366439911073891088670777097513579592692446706427520092533427363451771643609,0,0,True,87,362165043017690152669672489723971656075/340282366920938463463374607431768211456,362165043017690152669672489723971656085/340282366920938463463374607431768211456,12634734605918922767447259736024864712228335849694183556499111936/10008457489855540656079785391200346589150443011546514214424958929,12634734605918922767447259736024864712228335849694183556499111936/10008457489855540656079785391200346589150443011546514214424958929,0,0
95,-270,3,F,dem-sierra-b50000-transactional-t8-capture,benchmark-output/cpu-refinement/qpc-04g/run-01/dem-sierra-b50000-transactional-t8-capture/proposal-95--270-3.json,fit_bound_failed,5.4209221364413676,35,5.519304826893177,,accepted,True,35,726077330297205905513801307337107897325/340282366920938463463374607431768211456,726077330297205905513801307337107897335/340282366920938463463374607431768211456,910428045293902092174319196130021938379441223106493047693926885920440198156517376/721185366439911073891088670777097513579592692446706427520092533427363451771643609,910428045293902092174319196130021938379441223106493047693926885920440198156517376/721185366439911073891088670777097513579592692446706427520092533427363451771643609,0,0,True,35,181520077865004231213478866470365686133/85070591730234615865843651857942052864,363040155730008462426957732940731372271/170141183460469231731687303715884105728,12634734605918922767447259736024864712228335849694183556499111936/10008457489855540656079785391200346589150443011546514214424958929,12634734605918922767447259736024864712228335849694183556499111936/10008457489855540656079785391200346589150443011546514214424958929,0,0
