scene,event,metric,P0mean,PSmean,P0median,PSmedian,P0p95,PSp95,delta
dem-sierra,complete-warm,cpuMs,37.450220319332296,101.95504432976726,36.07569885253906,113.80799865722656,97.93603973388669,198.6394409179687,64.50482401043496
dem-sierra,complete-warm,receiverMs,26.388902150537636,82.3815688172043,24.4817,96.5682,74.64916,150.76451999999995,55.992666666666665
dem-sierra,complete-warm,viewMs,6.927169892473118,7.0248838709677415,9.8523,9.8026,11.607059999999999,11.851579999999997,0.09771397849462371
dem-sierra,complete-warm,donorMs,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dem-sierra,complete-warm,reservationMs,0.06541182795698924,0.24838494623655913,0.009099999999999999,0.08940000000000001,0.3131199999999997,0.8938799999999991,0.18297311827956989
dem-sierra,complete-warm,sampleRepairMs,3.051491397849462,9.419232258064516,0.7229,3.9383999999999997,14.741039999999996,32.522319999999986,6.367740860215054
dem-sierra,complete-warm,uploadMs,1.3086408659426485,1.6220935463300725,1.9443000555038452,2.1178998947143555,2.4721800327301025,2.6867600440978987,0.313452680387424
dem-sierra,complete-warm,faces,9581.333333333334,11075.09677419355,9738.0,11458.0,9752.0,11644.0,1493.7634408602153
dem-sierra,complete-warm,receivers,7.043010752688172,21.655913978494624,1.0,10.0,30.0,70.99999999999996,14.612903225806452
dem-sierra,complete-warm,exchanges,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dem-sierra,complete-warm,free,4.139784946236559,13.150537634408602,1.0,6.0,16.39999999999999,41.199999999999974,9.010752688172044
dem-sierra,complete-warm,pairs,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dem-sierra,complete-warm,touches,52602.48387096774,58272.086021505376,43792.0,48034.0,153762.59999999998,164601.8,5669.602150537634
dem-sierra,complete-warm,evaluations,1051727.8279569892,1055231.2258064516,1575257.0,1576851.0,1583285.8,1593883.8,3503.3978494624607
dem-sierra,recovery,cpuMs,0.9052093805512413,18.010525237652473,0.04474999941885471,0.07759999856352806,0.10080499947071074,95.36280212402343,17.105315857101232
dem-sierra,recovery,receiverMs,0.484071875,17.3027875,0.0,0.0,0.0,92.722685,16.818715625
dem-sierra,recovery,viewMs,0.36795625,0.3494,0.0,0.0,0.0,0.0,-0.018556249999999996
dem-sierra,recovery,donorMs,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dem-sierra,recovery,reservationMs,3.1249999999999997e-06,0.00605625,0.0,0.0,0.0,0.03445999999999998,0.006053125
dem-sierra,recovery,sampleRepairMs,0.0,0.204896875,0.0,0.0,0.0,1.531499999999999,0.204896875
dem-sierra,recovery,uploadMs,0.0007468750136467861,0.45233125482809555,0.0006000000284984708,0.0007999999797903001,0.0013150000362657005,2.5116450309753415,0.45158437981444877
dem-sierra,recovery,faces,9752.0,11643.125,9752.0,11644.0,9752.0,11644.0,1891.125
dem-sierra,recovery,receivers,0.0,0.78125,0.0,0.0,0.0,3.4499999999999993,0.78125
dem-sierra,recovery,exchanges,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dem-sierra,recovery,free,0.0,0.4375,0.0,0.0,0.0,2.4499999999999993,0.4375
dem-sierra,recovery,pairs,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dem-sierra,recovery,touches,566.125,6666.40625,0.0,0.0,0.0,36174.799999999996,6100.28125
dem-sierra,recovery,evaluations,49216.03125,49283.25,0.0,0.0,0.0,632.8499999999995,67.21875
dem-sierra,return,cpuMs,41.57965302467346,122.77535963058472,36.61555099487305,121.01105117797852,68.11693725585937,152.84258346557618,81.19570660591125
