case,system,event,metric,statistic,beforeMs,afterMs,deltaMs,relative
dem-canyon-P,windows,return,uploadMs,max,0.01269999984651804,0.01140000019222498,-0.0012999996542930603,-0.10236217874045739
dem-canyon-P,windows,reveal,cpuMs,mean,60.37255885683257,53.78515177759631,-6.587407079236257,-0.10911260353992336
dem-canyon-P,windows,reveal,cpuMs,median,60.557899475097656,51.84130096435547,-8.716598510742188,-0.14393825720997122
dem-canyon-P,windows,reveal,cpuMs,p95,74.05880126953123,65.85522155761718,-8.203579711914045,-0.11077116522663877
dem-canyon-P,windows,reveal,cpuMs,max,79.2490005493164,69.5833969116211,-9.665603637695312,-0.12196499098661107
dem-canyon-P,windows,reveal,viewMs,mean,15.727241379310344,14.764710344827586,-0.9625310344827582,-0.06120151724440348
dem-canyon-P,windows,reveal,viewMs,median,15.670900000000001,14.8837,-0.7872000000000021,-0.05023323484930686
dem-canyon-P,windows,reveal,viewMs,p95,18.789619999999996,18.89729999999999,0.10767999999999489,0.005730823720756284
dem-canyon-P,windows,reveal,viewMs,max,24.3251,22.3548,-1.9702999999999982,-0.08099863926561446
dem-canyon-P,windows,reveal,receiverMs,mean,29.896896551724137,26.07532068965517,-3.821575862068965,-0.1278251692598701
dem-canyon-P,windows,reveal,receiverMs,median,29.9974,25.051000000000002,-4.946399999999997,-0.16489429083853924
dem-canyon-P,windows,reveal,receiverMs,p95,35.03268,32.19388,-2.838799999999999,-0.08103290984303801
dem-canyon-P,windows,reveal,receiverMs,max,35.22,32.6042,-2.6158,-0.07427030096536058
dem-canyon-P,windows,reveal,donorMs,mean,11.526879310344828,9.868493103448277,-1.6583862068965516,-0.1438712215376653
dem-canyon-P,windows,reveal,donorMs,median,10.8552,9.5702,-1.2850000000000001,-0.11837644631144517
dem-canyon-P,windows,reveal,donorMs,p95,18.263259999999995,14.755979999999992,-3.5072800000000033,-0.19204019435741504
dem-canyon-P,windows,reveal,donorMs,max,21.360500000000002,16.569899999999997,-4.790600000000005,-0.224273776362913
dem-canyon-P,windows,reveal,reservationMs,mean,0.3507413793103448,0.3562896551724138,0.005548275862068963,0.01581870913827843
dem-canyon-P,windows,reveal,reservationMs,median,0.2973,0.3526,0.055300000000000016,0.18600739993272786
dem-canyon-P,windows,reveal,reservationMs,p95,0.7604399999999997,0.7382599999999995,-0.0221800000000002,-0.029167324180737753
dem-canyon-P,windows,reveal,reservationMs,max,0.8207000000000001,1.1716,0.3508999999999999,0.4275618374558301
dem-canyon-P,windows,reveal,sampleRepairMs,mean,1.830051724137931,1.7951827586206897,-0.03486896551724139,-0.019053540977737593
dem-canyon-P,windows,reveal,sampleRepairMs,median,1.3198999999999999,1.4587999999999999,0.13890000000000002,0.10523524509432525
dem-canyon-P,windows,reveal,sampleRepairMs,p95,4.59882,4.83206,0.23324000000000034,0.05071735793094767
dem-canyon-P,windows,reveal,sampleRepairMs,max,7.0587,5.7641,-1.2946,-0.18340487625200108
dem-canyon-P,windows,reveal,uploadMs,mean,0.12100689951330423,0.08455172410748642,-0.036455175405817816,-0.3012652629927909
dem-canyon-P,windows,reveal,uploadMs,median,0.012400000356137753,0.009100000374019146,-0.0032999999821186066,-0.2661290231725818
dem-canyon-P,windows,reveal,uploadMs,p95,0.8404000341892214,0.6352000296115854,-0.20520000457763599,-0.2441694386359745
dem-canyon-P,windows,reveal,uploadMs,max,1.801900029182434,1.136199951171875,-0.6657000780105591,-0.36944340264681796
